participant,choiceType,b0,b_inc,b_abs
Sims Int_1,Free,72.97297297297298,-2.3293029871977353,1.7247510668563217
Sims Int_1,Non-Free,71.25000000000001,3.124999999999993,4.374999999999995
Sims Int_10,Free,77.50000000000001,0.4825949367088569,-0.7674050632911488
Sims Int_10,Non-Free,75.00000000000001,-1.875000000000007,1.8749999999999871
Sims Int_100,Free,83.54430379746837,3.124999999999993,-1.669303797468371
Sims Int_100,Non-Free,71.25000000000001,-6.875000000000007,0.6249999999999895
Sims Int_101,Free,54.92957746478874,-1.7586079229914908,3.5857872149595016
Sims Int_101,Non-Free,75.00000000000001,0.6249999999999929,-1.875000000000013
Sims Int_102,Free,65.2777777777778,-1.19444444444445,9.527777777777766
Sims Int_102,Non-Free,77.50000000000001,-1.250000000000007,1.2499999999999873
Sims Int_103,Free,60.526315789473685,-1.0555555555555642,21.084795321637433
Sims Int_103,Non-Free,68.75000000000001,-7.105427357601002e-15,6.24999999999999
Sims Int_104,Free,77.7777777777778,-2.897435897435898,7.786324786324771
Sims Int_104,Non-Free,75.00000000000001,-7.105427357601002e-15,2.499999999999987
Sims Int_105,Free,79.4871794871795,-0.3896103896103966,0.12321012321010896
Sims Int_105,Non-Free,73.75000000000001,2.499999999999993,3.7499999999999876
Sims Int_106,Free,77.92207792207795,-3.2051282051282115,-5.486180486180515
Sims Int_106,Non-Free,78.75000000000001,-1.875000000000007,-4.375000000000013
Sims Int_107,Free,63.63636363636365,-0.10668563300142608,-5.634941161256951
Sims Int_107,Non-Free,76.25000000000001,-3.125000000000007,-1.8750000000000133
Sims Int_108,Free,77.92207792207795,-2.5350877192982537,4.876167691957159
Sims Int_108,Non-Free,68.75000000000001,1.249999999999993,6.249999999999991
Sims Int_109,Free,76.00000000000001,1.2720156555772917,-3.299412915851284
Sims Int_109,Non-Free,78.75000000000001,3.749999999999993,-1.2500000000000122
Sims Int_11,Free,78.20512820512822,0.632911392405056,4.706264199935086
Sims Int_11,Non-Free,72.50000000000001,-2.500000000000007,-2.5000000000000138
Sims Int_110,Free,70.42253521126761,-5.696969696969703,-4.119504908237303
Sims Int_110,Non-Free,67.50000000000001,-1.250000000000007,2.4999999999999933
Sims Int_111,Free,84.00000000000001,-2.597402597402599,0.41558441558441417
Sims Int_111,Non-Free,73.75000000000001,-7.105427357601002e-15,3.749999999999987
Sims Int_112,Free,76.25000000000001,0.21371034029261438,7.080593457175732
Sims Int_112,Non-Free,72.50000000000001,-7.105427357601002e-15,4.999999999999988
Sims Int_113,Free,95.00000000000001,-3.091528724440117,-9.62999026290167
Sims Int_113,Non-Free,85.00000000000001,-1.250000000000007,-11.250000000000012
Sims Int_114,Free,73.01587301587303,5.357822611343728,1.3560341025129663
Sims Int_114,Non-Free,73.75000000000001,-3.750000000000007,1.2499999999999867
Sims Int_115,Free,83.75000000000001,-4.430379746835456,8.022151898734174
Sims Int_115,Non-Free,65.00000000000001,-5.625000000000011,4.374999999999989
Sims Int_116,Free,75.94936708860762,-0.3685897435897516,-5.06795683219736
Sims Int_116,Non-Free,76.25000000000001,-3.750000000000007,1.249999999999994
Sims Int_117,Free,83.54430379746837,1.0308441558441501,3.7365403583757937
Sims Int_117,Non-Free,78.75000000000001,-3.7500000000000107,-11.250000000000018
Sims Int_118,Free,73.07692307692308,-1.6883116883116926,5.234765234765236
Sims Int_118,Non-Free,78.75000000000001,2.499999999999993,-5.000000000000012
Sims Int_119,Free,75.67567567567569,-1.6714082503556327,-1.0312944523470966
Sims Int_119,Non-Free,75.00000000000001,-1.250000000000007,-1.2500000000000133
Sims Int_12,Free,90.00000000000001,0.16447368421052033,3.5855263157894615
Sims Int_12,Non-Free,71.25000000000001,-1.250000000000007,8.749999999999998
Sims Int_120,Free,86.07594936708863,0.07911392405062401,1.344936708860753
Sims Int_120,Non-Free,77.50000000000001,6.249999999999993,-5.000000000000012
Sims Int_121,Free,60.759493670886094,4.430379746835435,-5.696202531645583
Sims Int_121,Non-Free,78.75000000000001,-5.000000000000007,2.4999999999999942
Sims Int_122,Free,88.60759493670886,3.1645569620253085,0.6329113924050662
Sims Int_122,Non-Free,77.50000000000001,-1.875000000000007,-10.625000000000014
Sims Int_123,Free,72.50000000000001,-4.375000000000007,-3.125000000000014
Sims Int_123,Non-Free,81.25000000000001,0.6249999999999929,-6.875000000000013
Sims Int_124,Free,55.00000000000002,-0.6329113924050702,0.06329113924048961
Sims Int_124,Non-Free,75.00000000000001,2.499999999999993,2.4999999999999876
Sims Int_125,Free,59.72222222222223,8.377192982456133,5.233918128654964
Sims Int_125,Non-Free,73.75000000000001,3.749999999999993,-1.2712053631958042e-14
Sims Int_126,Free,73.75000000000001,-0.4667721518987378,0.46677215189871757
Sims Int_126,Non-Free,78.75000000000001,-1.250000000000007,-3.7500000000000133
Sims Int_127,Free,61.538461538461554,-4.754746835443051,-5.5337147030185125
Sims Int_127,Non-Free,72.50000000000001,-1.875000000000007,0.6249999999999866
Sims Int_128,Free,73.75000000000001,-0.6250000000000071,4.374999999999988
Sims Int_128,Non-Free,68.75000000000001,-7.105427357601002e-15,8.749999999999991
Sims Int_129,Free,75.94936708860762,-2.5316455696202596,7.594936708860752
Sims Int_129,Non-Free,77.50000000000001,1.249999999999993,-3.750000000000013
Sims Int_13,Free,76.92307692307695,-0.5577755577755639,9.532134532134515
Sims Int_13,Non-Free,67.50000000000001,4.374999999999993,4.374999999999995
Sims Int_130,Free,76.25000000000001,-0.6250000000000071,0.6249999999999871
Sims Int_130,Non-Free,77.50000000000001,3.749999999999993,1.2499999999999878
Sims Int_131,Free,88.00000000000001,-9.778298485940894,-6.988824801730366
Sims Int_131,Non-Free,77.50000000000001,3.749999999999993,-3.750000000000013
Sims Int_132,Free,58.22784810126582,1.4583333333333215,14.06381856540085
Sims Int_132,Non-Free,78.75000000000001,-3.750000000000007,-7.500000000000014
Sims Int_133,Free,80.76923076923079,2.634493670886073,0.3462755598831344
Sims Int_133,Non-Free,67.50000000000001,4.374999999999993,5.624999999999995
Sims Int_134,Free,65.00000000000001,1.874999999999993,-4.375000000000007
Sims Int_134,Non-Free,76.25000000000001,-4.375000000000007,-6.875000000000014
Sims Int_135,Free,83.09859154929579,2.612778117983254,-0.20412329046744776
Sims Int_135,Non-Free,76.25000000000001,-0.6250000000000071,-3.1250000000000133
Sims Int_136,Free,78.48101265822785,-2.9520917678812495,-5.7920787850834605
Sims Int_136,Non-Free,81.25000000000001,-7.105427357601002e-15,-6.250000000000013
Sims Int_137,Free,73.33333333333334,0.3378995433789882,1.6712328767123252
Sims Int_137,Non-Free,71.25000000000001,-3.125000000000007,-3.125000000000007
Sims Int_138,Free,76.25000000000001,1.249999999999993,3.7499999999999876
Sims Int_138,Non-Free,72.50000000000001,-6.875000000000007,1.874999999999997
Sims Int_139,Free,73.75000000000001,2.3180379746835342,-5.181962025316472
Sims Int_139,Non-Free,77.50000000000001,-7.105427357601002e-15,-5.000000000000013
Sims Int_14,Free,55.69620253164557,-0.8465189873417813,9.707278481012654
Sims Int_14,Non-Free,77.50000000000001,3.124999999999993,0.6249999999999877
Sims Int_140,Free,77.50000000000001,-1.875000000000007,11.874999999999995
Sims Int_140,Non-Free,78.75000000000001,3.124999999999993,-8.125000000000012
Sims Int_141,Free,59.740259740259745,-5.229846768820789,3.3843238706663064
Sims Int_141,Non-Free,77.50000000000001,-4.375000000000007,-0.6250000000000062
Sims Int_142,Free,70.00000000000001,2.499999999999993,1.249999999999994
Sims Int_142,Non-Free,70.00000000000001,0.6249999999999929,3.124999999999994
Sims Int_143,Free,66.1764705882353,-2.027027027027035,-6.041335453100165
Sims Int_143,Non-Free,66.25000000000001,3.124999999999993,8.124999999999995
Sims Int_144,Free,83.7837837837838,-1.0490753911806578,-5.1031294452347264
Sims Int_144,Non-Free,75.00000000000001,0.6249999999999929,-3.1250000000000133
Sims Int_145,Free,62.337662337662344,-2.5324675324675425,5.12987012987012
Sims Int_145,Non-Free,68.75000000000001,1.874999999999993,5.624999999999995
Sims Int_146,Free,67.50000000000001,-1.8750000000000107,-1.8750000000000107
Sims Int_146,Non-Free,72.50000000000001,3.749999999999993,7.499999999999988
Sims Int_147,Free,61.33333333333334,-3.8424866514111464,1.9294431731502644
Sims Int_147,Non-Free,73.75000000000001,-0.6250000000000071,-0.6250000000000133
Sims Int_148,Free,76.00000000000001,3.91666666666665,-1.2500000000000127
Sims Int_148,Non-Free,76.25000000000001,2.499999999999993,-3.750000000000013
Sims Int_149,Free,79.22077922077924,0.6249999999999929,-3.595779220779234
Sims Int_149,Non-Free,71.25000000000001,-4.375000000000007,5.624999999999997
Sims Int_15,Free,72.50000000000001,-6.685126582278492,-9.564873417721529
Sims Int_15,Non-Free,75.00000000000001,-5.000000000000007,-1.354472090042691e-14
Sims Int_150,Free,85.00000000000001,-0.6250000000000071,-1.875000000000005
Sims Int_150,Non-Free,77.50000000000001,-7.105427357601002e-15,-2.500000000000013
Sims Int_151,Free,87.50000000000001,-2.412974683544313,-3.8370253164556996
Sims Int_151,Non-Free,78.75000000000001,3.124999999999993,-1.8750000000000124
Sims Int_152,Free,76.31578947368423,1.249999999999993,6.184210526315775
Sims Int_152,Non-Free,75.00000000000001,4.374999999999993,-4.375000000000013
Sims Int_153,Free,88.46153846153847,-3.9423076923077005,0.09615384615384188
Sims Int_153,Non-Free,77.50000000000001,1.249999999999993,-5.000000000000013
Sims Int_154,Free,82.05128205128206,-0.10548523206751526,1.387536514118802
Sims Int_154,Non-Free,71.25000000000001,-5.000000000000007,-6.855627177060342e-15
Sims Int_155,Free,86.25000000000001,-1.923076923076927,-3.557692307692312
Sims Int_155,Non-Free,73.75000000000001,-3.750000000000007,2.4999999999999867
Sims Int_156,Free,59.493670886075954,2.1360759493670827,0.8702531645569598
Sims Int_156,Non-Free,71.25000000000001,-3.125000000000007,3.124999999999994
Sims Int_157,Free,90.00000000000001,-1.250000000000007,-1.1463052729254741e-14
Sims Int_157,Non-Free,76.25000000000001,-7.105427357601002e-15,2.4999999999999876
Sims Int_158,Free,78.48101265822785,-2.317935229327645,2.3179352293276327
Sims Int_158,Non-Free,73.75000000000001,0.6249999999999929,-0.6250000000000131
Sims Int_159,Free,67.50000000000001,2.1955128205128105,9.054487179487177
Sims Int_159,Non-Free,70.00000000000001,1.249999999999993,3.7499999999999942
Sims Int_16,Free,68.42105263157896,-0.18018018018018722,4.732100521574194
Sims Int_16,Non-Free,70.00000000000001,-0.6250000000000071,5.62499999999999
Sims Int_160,Free,73.33333333333334,-1.689189189189193,-0.022522522522527885
Sims Int_160,Non-Free,75.00000000000001,0.6249999999999929,1.8749999999999873
Sims Int_161,Free,69.62025316455698,2.163461538461526,1.2932083739045563
Sims Int_161,Non-Free,78.75000000000001,-3.750000000000007,-2.5000000000000133
Sims Int_162,Free,79.71014492753625,5.7971014492753525,7.2463768115941996
Sims Int_162,Non-Free,72.50000000000001,-1.875000000000007,-0.6250000000000135
Sims Int_163,Free,75.94936708860762,2.5316455696202382,-6.3291139240506515
Sims Int_163,Non-Free,67.50000000000001,7.499999999999993,8.749999999999995
Sims Int_164,Free,82.50000000000001,-0.063291139240512,7.436708860759491
Sims Int_164,Non-Free,81.25000000000001,1.874999999999993,-6.875000000000012
Sims Int_165,Free,75.34246575342468,-2.9109589041095987,2.568493150684924
Sims Int_165,Non-Free,77.50000000000001,0.6249999999999929,4.374999999999995
Sims Int_166,Free,78.57142857142858,2.6960784313725483,-9.20868347338937
Sims Int_166,Non-Free,72.50000000000001,8.749999999999996,-1.2295719997723609e-14
Sims Int_167,Free,70.8860759493671,5.122362869198298,1.3248945147679352
Sims Int_167,Non-Free,66.25000000000001,-8.12500000000001,5.624999999999989
Sims Int_168,Free,86.88524590163935,-1.5664961636828707,-1.495220326191768
Sims Int_168,Non-Free,70.00000000000001,0.6249999999999929,5.624999999999995
Sims Int_169,Free,52.50000000000001,0.6329113924050596,3.8291139240506267
Sims Int_169,Non-Free,77.50000000000001,-3.750000000000007,-6.022959908591474e-15
Sims Int_17,Free,91.25000000000001,-3.125000000000007,-4.375000000000012
Sims Int_17,Non-Free,72.50000000000001,-0.6250000000000071,3.124999999999987
Sims Int_170,Free,78.37837837837839,-5.096525096525106,5.0965250965250934
Sims Int_170,Non-Free,67.50000000000001,-6.875000000000007,10.625
Sims Int_171,Free,56.000000000000014,3.7234916981752377,3.5676475423310734
Sims Int_171,Non-Free,77.50000000000001,-2.500000000000007,2.4999999999999942
Sims Int_172,Free,83.75000000000001,1.874999999999993,-1.875000000000012
Sims Int_172,Non-Free,80.00000000000001,3.749999999999993,-1.2500000000000122
Sims Int_173,Free,67.94871794871797,0.6410256410256281,0.6410256410256286
Sims Int_173,Non-Free,76.25000000000001,6.249999999999993,-7.500000000000013
Sims Int_174,Free,61.250000000000014,1.2499999999999858,1.2499999999999858
Sims Int_174,Non-Free,77.50000000000001,-2.500000000000007,-2.5000000000000133
Sims Int_175,Free,84.00000000000001,1.298701298701289,-2.1818181818181848
Sims Int_175,Non-Free,80.00000000000001,-1.250000000000007,-5.000000000000013
Sims Int_176,Free,78.48101265822785,-4.920886075949376,3.939873417721523
Sims Int_176,Non-Free,72.50000000000001,1.249999999999993,1.2499999999999871
Sims Int_177,Free,68.35443037974684,1.115506329113913,9.011075949367081
Sims Int_177,Non-Free,71.25000000000001,-7.105427357601002e-15,1.2499999999999938
Sims Int_178,Free,77.50000000000001,-2.3855890944498697,-2.962512171372942
Sims Int_178,Non-Free,75.00000000000001,5.624999999999993,-1.8750000000000127
Sims Int_179,Free,68.75000000000001,-7.105427357601002e-15,4.99999999999999
Sims Int_179,Non-Free,71.25000000000001,3.124999999999993,3.1249999999999942
Sims Int_18,Free,74.68354430379748,3.7974683544303716,5.063291139240507
Sims Int_18,Non-Free,80.00000000000001,1.249999999999993,-5.000000000000012
Sims Int_180,Free,68.35443037974684,-7.088607594936718,4.556962025316448
Sims Int_180,Non-Free,70.00000000000001,3.124999999999993,6.874999999999995
Sims Int_181,Free,86.25000000000001,-1.875000000000007,-1.875000000000005
Sims Int_181,Non-Free,67.50000000000001,0.6249999999999929,5.624999999999994
Sims Int_182,Free,72.50000000000001,-1.250000000000007,4.999999999999988
Sims Int_182,Non-Free,80.00000000000001,-1.875000000000007,-5.625000000000013
Sims Int_183,Free,73.41772151898736,1.0996835443037938,1.4319620253164387
Sims Int_183,Non-Free,77.50000000000001,-7.105427357601002e-15,-3.7500000000000133
Sims Int_184,Free,67.50000000000001,1.8987341772151822,7.816455696202533
Sims Int_184,Non-Free,76.25000000000001,-4.375000000000007,-1.8750000000000135
Sims Int_185,Free,82.05128205128206,-1.170886075949376,4.1196040246673205
Sims Int_185,Non-Free,75.00000000000001,-6.250000000000007,-6.5780714209040525e-15
Sims Int_186,Free,88.75000000000001,0.6249999999999929,-3.1250000000000115
Sims Int_186,Non-Free,71.25000000000001,3.749999999999993,4.999999999999995
Sims Int_187,Free,71.79487179487181,-2.500000000000007,1.9551282051281982
Sims Int_187,Non-Free,73.75000000000001,5.624999999999993,1.8749999999999878
Sims Int_188,Free,63.75,8.12499999999999,-0.6249999999999992
Sims Int_188,Non-Free,70.00000000000001,-7.105427357601002e-15,4.999999999999994
Sims Int_189,Free,76.31578947368423,-2.90834312573444,0.5055971303110607
Sims Int_189,Non-Free,70.00000000000001,-7.105427357601002e-15,8.749999999999991
Sims Int_19,Free,80.55555555555557,-3.378378378378386,-1.5015015015015067
Sims Int_19,Non-Free,72.50000000000001,3.124999999999993,-0.625000000000013
Sims Int_190,Free,73.07692307692308,7.800205268559694,5.609358141003706
Sims Int_190,Non-Free,76.25000000000001,-0.6250000000000071,0.6249999999999871
Sims Int_191,Free,70.66666666666669,1.1021872863978004,-2.032011847801335
Sims Int_191,Non-Free,73.75000000000001,1.249999999999993,-2.5000000000000133
Sims Int_192,Free,73.6842105263158,5.2904901006166725,-4.291156323135012
Sims Int_192,Non-Free,80.00000000000001,-0.6250000000000071,-3.125000000000013
Sims Int_193,Free,73.75000000000001,-2.884615384615394,4.134615384615381
Sims Int_193,Non-Free,73.75000000000001,4.374999999999993,1.8749999999999876
Sims Int_2,Free,90.00000000000001,-3.8370253164557013,-0.08702531645570598
Sims Int_2,Non-Free,90.00000000000003,3.124999999999993,-19.37500000000002
Sims Int_20,Free,72.15189873417722,-0.6250000000000071,4.723101265822779
Sims Int_20,Non-Free,75.00000000000001,-3.750000000000007,-1.2500000000000135
Sims Int_21,Free,68.91891891891893,4.873873873873862,4.873873873873864
Sims Int_21,Non-Free,76.25000000000001,-5.000000000000007,-6.300515664747763e-15
Sims Int_22,Free,57.142857142857146,-0.6493506493506587,4.545454545454543
Sims Int_22,Non-Free,72.50000000000001,-5.000000000000007,-5.000000000000014
Sims Int_23,Free,59.15492957746479,3.1566408576533576,2.905820869229675
Sims Int_23,Non-Free,73.75000000000001,1.874999999999993,0.6249999999999871
Sims Int_24,Free,78.75000000000001,1.874999999999993,0.6249999999999877
Sims Int_24,Non-Free,77.50000000000001,-1.250000000000007,-2.5000000000000133
Sims Int_25,Free,93.42105263157896,0.6410256410256352,-0.47233468286100716
Sims Int_25,Non-Free,75.00000000000001,3.124999999999993,0.6249999999999875
Sims Int_26,Free,83.75000000000001,-0.6250000000000071,0.6249999999999951
Sims Int_26,Non-Free,77.50000000000001,1.249999999999993,-7.500000000000013
Sims Int_27,Free,84.81012658227849,-3.441558441558449,1.748314976163082
Sims Int_27,Non-Free,75.00000000000001,-3.125000000000007,-3.1250000000000138
Sims Int_28,Free,89.74358974358977,1.5460526315789451,-4.447537112010811
Sims Int_28,Non-Free,76.25000000000001,1.249999999999993,-1.2500000000000129
Sims Int_29,Free,70.51282051282053,2.1044303797468267,-5.117250892567355
Sims Int_29,Non-Free,81.25000000000001,-7.105427357601002e-15,-6.250000000000013
Sims Int_3,Free,49.350649350649356,-1.6455696202531733,12.294920269603818
Sims Int_3,Non-Free,75.00000000000001,-3.750000000000007,-2.5000000000000138
Sims Int_30,Free,87.50000000000001,-0.8276255707762701,-7.505707762557085
Sims Int_30,Non-Free,63.74999999999999,-3.125000000000007,14.375000000000009
Sims Int_31,Free,64.93506493506494,-0.21097046413503762,1.9425721957367517
Sims Int_31,Non-Free,73.75000000000001,-1.250000000000007,1.249999999999987
Sims Int_32,Free,45.0,4.374999999999993,15.625
Sims Int_32,Non-Free,73.75000000000001,-0.6250000000000071,5.624999999999988
Sims Int_33,Free,67.50000000000001,-4.129746835443047,-10.870253164556972
Sims Int_33,Non-Free,77.50000000000001,-0.6250000000000071,5.624999999999995
Sims Int_34,Free,69.33333333333336,-1.399067288474356,2.9518099045080826
Sims Int_34,Non-Free,75.00000000000001,3.749999999999993,-1.2500000000000127
Sims Int_35,Free,65.33333333333334,1.1944444444444358,9.472222222222223
Sims Int_35,Non-Free,77.50000000000001,-2.500000000000007,-1.2989609388114332e-14
Sims Int_36,Free,70.8860759493671,-1.250000000000007,1.6139240506329111
Sims Int_36,Non-Free,67.50000000000001,4.999999999999993,6.249999999999995
Sims Int_37,Free,74.32432432432434,1.118421052631568,7.057254623044097
Sims Int_37,Non-Free,80.00000000000001,0.6249999999999929,-6.875000000000013
Sims Int_38,Free,77.33333333333334,-4.086538461538474,-4.496794871794875
Sims Int_38,Non-Free,77.50000000000001,3.749999999999993,-1.2500000000000124
Sims Int_39,Free,75.64102564102565,-7.105427357601002e-15,9.692307692307702
Sims Int_39,Non-Free,67.50000000000001,1.249999999999993,7.499999999999995
Sims Int_4,Free,88.60759493670886,-1.7800632911392427,-5.577531645569627
Sims Int_4,Non-Free,76.25000000000001,-5.625000000000007,4.374999999999994
Sims Int_40,Free,82.50000000000001,-3.7974683544303858,-7.816455696202552
Sims Int_40,Non-Free,72.50000000000001,-7.105427357601002e-15,2.499999999999987
Sims Int_41,Free,70.00000000000001,2.357594936708857,4.857594936708859
Sims Int_41,Non-Free,75.00000000000001,-5.000000000000007,-3.7500000000000138
Sims Int_42,Free,80.51948051948054,-7.521908471275559,0.4201494707823709
Sims Int_42,Non-Free,76.25000000000001,0.6249999999999929,3.1249999999999876
Sims Int_43,Free,79.746835443038,0.6329113924050489,-5.696202531645588
