participant,coh,incentive,acc,conf,n_trials,group,acc_c
Exp1a_1,1.0,-1.0,0.625,48.375,16,Free,-0.12731939189193064
Exp1a_1,1.0,0.0,0.5,92.0,14,Free,-0.25231939189193064
Exp1a_1,1.0,1.0,0.5333333333333333,89.66666666666667,15,Free,-0.21898605855859732
Exp1a_1,3.0,-1.0,0.6666666666666666,40.93333333333333,15,Free,-0.08565272522526401
Exp1a_1,3.0,0.0,0.6428571428571429,84.64285714285714,14,Free,-0.10946224903478774
Exp1a_1,3.0,1.0,0.6,88.46666666666667,15,Free,-0.15231939189193067
Exp1a_1,5.0,-1.0,0.7142857142857143,41.07142857142857,14,Free,-0.03803367760621634
Exp1a_1,5.0,0.0,0.7333333333333333,91.0,15,Free,-0.018986058558597363
Exp1a_1,5.0,1.0,0.6,95.46666666666667,15,Free,-0.15231939189193067
Exp1a_1,9.0,-1.0,0.8461538461538461,52.61538461538461,13,Free,0.0938344542619155
Exp1a_1,9.0,0.0,0.75,89.5625,16,Free,-0.0023193918919306444
Exp1a_1,9.0,1.0,0.875,96.9375,16,Free,0.12268060810806936
Exp1a_1,38.0,-1.0,1.0,99.5,16,Free,0.24768060810806936
Exp1a_1,38.0,0.0,1.0,98.93333333333334,15,Free,0.24768060810806936
Exp1a_1,38.0,1.0,1.0,99.66666666666667,15,Free,0.24768060810806936
Exp1a_10,1.0,-1.0,0.6666666666666666,80.86666666666666,15,Free,-0.08565272522526401
Exp1a_10,1.0,0.0,0.625,69.25,16,Free,-0.12731939189193064
Exp1a_10,1.0,1.0,1.0,86.86666666666666,15,Free,0.24768060810806936
Exp1a_10,3.0,-1.0,0.8666666666666667,88.53333333333333,15,Free,0.11434727477473605
Exp1a_10,3.0,0.0,1.0,90.25,16,Free,0.24768060810806936
Exp1a_10,3.0,1.0,0.9375,96.3125,16,Free,0.18518060810806936
Exp1a_10,5.0,-1.0,1.0,99.5,16,Free,0.24768060810806936
Exp1a_10,5.0,0.0,1.0,98.5,16,Free,0.24768060810806936
Exp1a_10,5.0,1.0,0.9375,99.875,16,Free,0.18518060810806936
Exp1a_10,9.0,-1.0,1.0,100.0,16,Free,0.24768060810806936
Exp1a_10,9.0,0.0,1.0,98.75,16,Free,0.24768060810806936
Exp1a_10,9.0,1.0,1.0,100.0,16,Free,0.24768060810806936
Exp1a_10,38.0,-1.0,1.0,100.0,16,Free,0.24768060810806936
Exp1a_10,38.0,0.0,1.0,100.0,16,Free,0.24768060810806936
Exp1a_10,38.0,1.0,0.9375,93.75,16,Free,0.18518060810806936
Exp1a_11,1.0,-1.0,0.5625,45.3125,16,Free,-0.18981939189193064
Exp1a_11,1.0,0.0,0.4,54.0,15,Free,-0.3523193918919306
Exp1a_11,1.0,1.0,0.5625,88.75,16,Free,-0.18981939189193064
Exp1a_11,3.0,-1.0,0.5625,42.875,16,Free,-0.18981939189193064
Exp1a_11,3.0,0.0,0.75,60.0,16,Free,-0.0023193918919306444
Exp1a_11,3.0,1.0,0.625,90.75,16,Free,-0.12731939189193064
Exp1a_11,5.0,-1.0,0.75,43.0625,16,Free,-0.0023193918919306444
Exp1a_11,5.0,0.0,0.8125,52.8125,16,Free,0.060180608108069356
Exp1a_11,5.0,1.0,0.5,90.875,16,Free,-0.25231939189193064
Exp1a_11,9.0,-1.0,0.6875,43.1875,16,Free,-0.06481939189193064
Exp1a_11,9.0,0.0,0.875,50.75,16,Free,0.12268060810806936
Exp1a_11,9.0,1.0,0.8125,90.875,16,Free,0.060180608108069356
Exp1a_11,38.0,-1.0,1.0,44.3125,16,Free,0.24768060810806936
Exp1a_11,38.0,0.0,1.0,57.0625,16,Free,0.24768060810806936
Exp1a_11,38.0,1.0,1.0,87.625,16,Free,0.24768060810806936
Exp1a_12,1.0,-1.0,0.5625,62.5,16,Free,-0.18981939189193064
Exp1a_12,1.0,0.0,0.6,64.0,15,Free,-0.15231939189193067
Exp1a_12,1.0,1.0,0.6428571428571429,67.78571428571429,14,Free,-0.10946224903478774
Exp1a_12,3.0,-1.0,0.5625,59.3125,16,Free,-0.18981939189193064
Exp1a_12,3.0,0.0,0.75,68.625,16,Free,-0.0023193918919306444
Exp1a_12,3.0,1.0,0.38461538461538464,73.07692307692308,13,Free,-0.367704007276546
Exp1a_12,5.0,-1.0,0.6875,62.375,16,Free,-0.06481939189193064
Exp1a_12,5.0,0.0,0.6666666666666666,65.86666666666666,15,Free,-0.08565272522526401
Exp1a_12,5.0,1.0,0.8,96.0,15,Free,0.0476806081080694
Exp1a_12,9.0,-1.0,0.8125,62.5,16,Free,0.060180608108069356
Exp1a_12,9.0,0.0,0.6923076923076923,65.3076923076923,13,Free,-0.060011699584238354
Exp1a_12,9.0,1.0,0.8571428571428571,96.42857142857143,14,Free,0.10482346525092645
Exp1a_12,38.0,-1.0,1.0,78.57142857142857,14,Free,0.24768060810806936
Exp1a_12,38.0,0.0,1.0,73.2,15,Free,0.24768060810806936
Exp1a_12,38.0,1.0,0.9285714285714286,92.78571428571429,14,Free,0.17625203667949796
Exp1a_13,1.0,-1.0,0.5333333333333333,63.53333333333333,15,Free,-0.21898605855859732
Exp1a_13,1.0,0.0,0.625,65.4375,16,Free,-0.12731939189193064
Exp1a_13,1.0,1.0,0.5625,65.4375,16,Free,-0.18981939189193064
Exp1a_13,3.0,-1.0,0.6,74.06666666666666,15,Free,-0.15231939189193067
Exp1a_13,3.0,0.0,0.6875,76.0,16,Free,-0.06481939189193064
Exp1a_13,3.0,1.0,0.875,73.9375,16,Free,0.12268060810806936
Exp1a_13,5.0,-1.0,0.8125,77.25,16,Free,0.060180608108069356
Exp1a_13,5.0,0.0,1.0,80.5,16,Free,0.24768060810806936
Exp1a_13,5.0,1.0,0.9375,78.0625,16,Free,0.18518060810806936
Exp1a_13,9.0,-1.0,1.0,88.375,16,Free,0.24768060810806936
Exp1a_13,9.0,0.0,1.0,88.0,16,Free,0.24768060810806936
Exp1a_13,9.0,1.0,0.9375,88.625,16,Free,0.18518060810806936
Exp1a_13,38.0,-1.0,1.0,98.8125,16,Free,0.24768060810806936
Exp1a_13,38.0,0.0,1.0,98.1875,16,Free,0.24768060810806936
Exp1a_13,38.0,1.0,1.0,99.73333333333333,15,Free,0.24768060810806936
Exp1a_14,1.0,-1.0,0.42857142857142855,87.35714285714286,14,Free,-0.3237479633205021
Exp1a_14,1.0,0.0,0.6875,88.0,16,Free,-0.06481939189193064
Exp1a_14,1.0,1.0,0.5333333333333333,88.33333333333333,15,Free,-0.21898605855859732
Exp1a_14,3.0,-1.0,0.6,89.2,15,Free,-0.15231939189193067
Exp1a_14,3.0,0.0,0.6875,87.375,16,Free,-0.06481939189193064
Exp1a_14,3.0,1.0,0.7142857142857143,87.57142857142857,14,Free,-0.03803367760621634
Exp1a_14,5.0,-1.0,0.8571428571428571,89.28571428571429,14,Free,0.10482346525092645
Exp1a_14,5.0,0.0,0.6363636363636364,86.36363636363636,11,Free,-0.11595575552829429
Exp1a_14,5.0,1.0,0.75,91.25,12,Free,-0.0023193918919306444
Exp1a_14,9.0,-1.0,0.8461538461538461,88.92307692307692,13,Free,0.0938344542619155
Exp1a_14,9.0,0.0,0.9285714285714286,86.5,14,Free,0.17625203667949796
Exp1a_14,9.0,1.0,0.7272727272727273,87.81818181818181,11,Free,-0.02504666461920335
Exp1a_14,38.0,-1.0,1.0,89.92857142857143,14,Free,0.24768060810806936
Exp1a_14,38.0,0.0,1.0,89.0,15,Free,0.24768060810806936
Exp1a_14,38.0,1.0,1.0,89.35714285714286,14,Free,0.24768060810806936
Exp1a_148,1.0,-1.0,0.6875,98.125,16,Free,-0.06481939189193064
Exp1a_148,1.0,0.0,0.6875,99.625,16,Free,-0.06481939189193064
Exp1a_148,1.0,1.0,0.625,99.25,16,Free,-0.12731939189193064
Exp1a_148,3.0,-1.0,0.625,97.25,16,Free,-0.12731939189193064
Exp1a_148,3.0,0.0,0.4375,99.8125,16,Free,-0.31481939189193064
Exp1a_148,3.0,1.0,0.6875,98.625,16,Free,-0.06481939189193064
Exp1a_148,5.0,-1.0,0.6875,97.0,16,Free,-0.06481939189193064
Exp1a_148,5.0,0.0,0.625,99.75,16,Free,-0.12731939189193064
Exp1a_148,5.0,1.0,0.5333333333333333,98.13333333333334,15,Free,-0.21898605855859732
