participant,coh,incentive,acc,conf,n_trials,group,acc_c
Exp1a_100,1.0,-1.0,0.625,60.125,16,Non-Free,-0.10716447591447598
Exp1a_100,1.0,0.0,0.5,53.8125,16,Non-Free,-0.23216447591447598
Exp1a_100,1.0,1.0,0.625,59.6875,16,Non-Free,-0.10716447591447598
Exp1a_100,3.0,-1.0,0.5333333333333333,54.8,15,Non-Free,-0.19883114258114265
Exp1a_100,3.0,0.0,0.75,66.125,16,Non-Free,0.017835524085524024
Exp1a_100,3.0,1.0,0.625,60.6875,16,Non-Free,-0.10716447591447598
Exp1a_100,5.0,-1.0,0.75,65.8125,16,Non-Free,0.017835524085524024
Exp1a_100,5.0,0.0,0.625,64.375,16,Non-Free,-0.10716447591447598
Exp1a_100,5.0,1.0,0.75,66.625,16,Non-Free,0.017835524085524024
Exp1a_100,9.0,-1.0,0.75,64.875,16,Non-Free,0.017835524085524024
Exp1a_100,9.0,0.0,0.9375,84.8125,16,Non-Free,0.20533552408552402
Exp1a_100,9.0,1.0,0.875,81.6875,16,Non-Free,0.14283552408552402
Exp1a_100,38.0,-1.0,1.0,89.4375,16,Non-Free,0.267835524085524
Exp1a_100,38.0,0.0,0.9375,90.875,16,Non-Free,0.20533552408552402
Exp1a_100,38.0,1.0,0.9375,93.75,16,Non-Free,0.20533552408552402
Exp1a_101,1.0,-1.0,0.6666666666666666,63.4,15,Non-Free,-0.06549780924780935
Exp1a_101,1.0,0.0,0.6875,55.25,16,Non-Free,-0.044664475914475976
Exp1a_101,1.0,1.0,0.6,59.13333333333333,15,Non-Free,-0.132164475914476
Exp1a_101,3.0,-1.0,0.625,62.3125,16,Non-Free,-0.10716447591447598
Exp1a_101,3.0,0.0,0.5333333333333333,51.06666666666667,15,Non-Free,-0.19883114258114265
Exp1a_101,3.0,1.0,0.42857142857142855,55.07142857142857,14,Non-Free,-0.30359304734304743
Exp1a_101,5.0,-1.0,0.5,50.5,12,Non-Free,-0.23216447591447598
Exp1a_101,5.0,0.0,0.6428571428571429,58.142857142857146,14,Non-Free,-0.08930733305733307
Exp1a_101,5.0,1.0,0.8,75.13333333333334,15,Non-Free,0.06783552408552407
Exp1a_101,9.0,-1.0,0.7692307692307693,75.3076923076923,13,Non-Free,0.0370662933162933
Exp1a_101,9.0,0.0,0.9230769230769231,81.61538461538461,13,Non-Free,0.19091244716244715
