participant,choiceType,incentive,beta0,beta1,n_coh
exp1a_1,Free,-1.0,1.0756668561237612,1.0646643664751,3
exp1a_1,Free,0.0,0.9299393358967515,0.8235760678717459,3
exp1a_1,Free,1.0,2.04602943226936,2.392599200264562,3
exp1a_10,Free,-1.0,5.923958556910177,4.104266778323099,3
exp1a_10,Free,0.0,6.080429783145162,4.575909398214517,3
exp1a_10,Free,1.0,6.125834154736458,3.4445720676732106,3
exp1a_100,Observed,-1.0,2.472935574660452,1.527749329602737,3
exp1a_100,Observed,0.0,3.171740897721096,2.8901535544591557,3
exp1a_100,Observed,1.0,3.4638638701290367,2.4028597987410127,3
exp1a_101,Observed,-1.0,3.042911820005927,1.55013306897654,3
exp1a_101,Observed,0.0,3.61643493605106,2.135090702869367,3
exp1a_101,Observed,1.0,2.5915494179184204,2.0518277499838753,3
exp1a_102,Observed,-1.0,0.84689741895268,0.9091818285012716,3
exp1a_102,Observed,0.0,0.3586545020879529,0.31442661752933426,3
exp1a_102,Observed,1.0,1.075346919693684,1.1940485401288579,3
exp1a_103,Observed,-1.0,3.29665801719205,2.9356449064232883,3
exp1a_103,Observed,0.0,3.2782109674383064,2.472960542899558,3
exp1a_103,Observed,1.0,3.4709359596503564,3.0408912436617994,3
exp1a_104,Observed,-1.0,2.3331533252496817,2.2091400109053927,3
exp1a_104,Observed,0.0,4.045677004545922,1.1719846603106032,3
exp1a_104,Observed,1.0,2.4076708043908153,2.688743286217647,3
exp1a_105,Observed,-1.0,1.8934848163093823,2.026854094539027,3
exp1a_105,Observed,0.0,1.8932823886439158,1.8480906619901758,3
exp1a_105,Observed,1.0,1.0439075906156514,0.9384886208714824,3
exp1a_106,Observed,-1.0,1.8906000035669326,1.515340190342837,3
exp1a_106,Observed,0.0,2.047671889261155,1.8288926967909271,3
exp1a_106,Observed,1.0,1.7589228137954782,1.8362912067734585,3
exp1a_107,Observed,-1.0,2.7288242642414913,1.5929811352406709,3
exp1a_107,Observed,0.0,3.031236672263888,2.267327895394225,3
exp1a_107,Observed,1.0,2.6272208721933685,1.742993979141164,3
exp1a_108,Observed,-1.0,0.03851230716943595,0.021247074649613767,3
exp1a_108,Observed,0.0,0.033738321705459005,0.01603944971175157,3
exp1a_108,Observed,1.0,0.04375407263178862,0.02578330629458466,3
exp1a_109,Observed,-1.0,0.9791857311961996,1.0764701149688292,3
exp1a_109,Observed,0.0,1.2436101058507112,1.6110352204819796,3
exp1a_109,Observed,1.0,1.1166506750865488,1.282780109277497,3
exp1a_11,Free,-1.0,0.06885972437325484,0.05063807722574069,3
exp1a_11,Free,0.0,0.07892307566431679,0.05466050508081491,3
exp1a_11,Free,1.0,0.11569967958795244,0.1103542363288398,3
exp1a_110,Observed,-1.0,2.1689540254203505,1.964031705184797,3
exp1a_110,Observed,0.0,1.414278602030689,1.3613733025637478,3
exp1a_110,Observed,1.0,2.59686385379624,2.6483445179871707,3
exp1a_111,Observed,-1.0,2.1103618333179255,2.066646325298318,3
exp1a_111,Observed,0.0,1.6827303373926517,1.3932283895650195,3
exp1a_111,Observed,1.0,2.402166770072894,2.3535007493159648,3
exp1a_112,Observed,-1.0,0.042123301829710615,0.03038162361730292,3
exp1a_112,Observed,0.0,0.029638211419962736,0.017558702248324693,3
exp1a_112,Observed,1.0,0.05808171847709114,0.05291480665524809,3
exp1a_113,Observed,-1.0,0.5500190287293286,0.575551158146665,3
exp1a_113,Observed,0.0,0.8492660692790213,0.9818130387738584,3
exp1a_113,Observed,1.0,0.662182473797432,0.7515053817206497,3
exp1a_114,Observed,-1.0,4.800759914687496,3.9071812065520364,3
exp1a_114,Observed,0.0,4.519376845104749,2.721274790017397,3
exp1a_114,Observed,1.0,3.2751065441537768,2.5852985680816998,3
exp1a_115,Observed,-1.0,3.595706170304494,2.8110659653133134,3
exp1a_115,Observed,0.0,3.8308182194355056,2.0869442016602973,3
exp1a_115,Observed,1.0,4.34600204298463,1.8555645087394772,3
exp1a_116,Observed,-1.0,0.4189199185230489,0.416598038141114,3
exp1a_116,Observed,0.0,0.5149667342417182,0.5982129946274393,3
exp1a_116,Observed,1.0,0.6621822087511889,0.7432131815856869,3
exp1a_117,Observed,-1.0,2.316545177357823,2.1417029774288108,3
exp1a_117,Observed,0.0,1.9672557409112592,1.897073498303939,3
exp1a_117,Observed,1.0,2.848578136201567,1.992635762266968,3
exp1a_118,Observed,-1.0,1.924063620455539,2.0945156276069317,3
exp1a_118,Observed,0.0,2.6585986250987976,3.0026346578092746,3
exp1a_118,Observed,1.0,2.074089011149386,2.4327377679155258,3
exp1a_119,Observed,-1.0,1.4263330150966254,1.6766489293322036,3
exp1a_119,Observed,0.0,1.2515142788015485,1.582565810563061,3
exp1a_119,Observed,1.0,1.5848154048508034,1.691882122960726,3
exp1a_12,Free,-1.0,0.7245044971908547,0.6975107085594462,3
exp1a_12,Free,0.0,0.29570673706823136,0.18416949241982603,3
exp1a_12,Free,1.0,3.06076423426857,3.2538611763637464,3
exp1a_120,Observed,-1.0,5.163797060448499,2.1402202933251497,3
exp1a_120,Observed,0.0,4.511271501140762,2.0586962538700466,3
exp1a_120,Observed,1.0,5.897538948882491,3.7621661373433586,3
