participant,choiceType,incentive,coh3,meta_d
exp1a_1,Free,-1.0,-1.0,0.14165765767358504
exp1a_1,Free,-1.0,0.0,0.8143565200739127
exp1a_1,Free,-1.0,1.0,2.2709863906237855
exp1a_1,Free,0.0,-1.0,0.17102056034208973
exp1a_1,Free,0.0,0.0,0.8006247512625836
exp1a_1,Free,0.0,1.0,1.8181726960855813
exp1a_1,Free,1.0,-1.0,0.12169511601165302
exp1a_1,Free,1.0,0.0,1.1094996642556505
exp1a_1,Free,1.0,1.0,4.9068935165407765
exp1a_10,Free,-1.0,-1.0,2.20465418196878
exp1a_10,Free,-1.0,0.0,5.154033750146775
exp1a_10,Free,-1.0,1.0,10.413187738614978
exp1a_10,Free,0.0,-1.0,2.0026766663286963
exp1a_10,Free,0.0,0.0,5.084117220349059
exp1a_10,Free,0.0,1.0,11.154495462757728
exp1a_10,Free,1.0,-1.0,2.886900209269983
exp1a_10,Free,1.0,0.0,5.714557910322989
exp1a_10,Free,1.0,1.0,9.776044344616404
exp1a_100,Observed,-1.0,-1.0,0.9487419591923628
exp1a_100,Observed,-1.0,0.0,2.465824146391157
exp1a_100,Observed,-1.0,1.0,4.004240618397836
exp1a_100,Observed,0.0,-1.0,0.6140419777954484
exp1a_100,Observed,0.0,0.0,2.506831628654077
exp1a_100,Observed,0.0,1.0,6.394349086713761
exp1a_100,Observed,1.0,-1.0,1.1432741838367368
exp1a_100,Observed,1.0,0.0,3.299323645231611
exp1a_100,Observed,1.0,1.0,5.948993781318762
exp1a_101,Observed,-1.0,-1.0,1.4218823447460172
exp1a_101,Observed,-1.0,0.0,3.184704632572665
exp1a_101,Observed,-1.0,1.0,4.522148482699097
exp1a_101,Observed,0.0,-1.0,1.4674313616484096
exp1a_101,Observed,0.0,0.0,3.644260679117625
exp1a_101,Observed,0.0,1.0,5.737612767387144
exp1a_101,Observed,1.0,-1.0,0.6917602244010025
exp1a_101,Observed,1.0,0.0,2.287472304985505
exp1a_101,Observed,1.0,1.0,4.795415724368753
exp1a_102,Observed,-1.0,-1.0,0.08402038116379905
exp1a_102,Observed,-1.0,0.0,0.5542878375278987
exp1a_102,Observed,-1.0,1.0,1.9023840381663417
exp1a_102,Observed,0.0,-1.0,0.07010551833927621
exp1a_102,Observed,0.0,0.0,0.30689923452663764
exp1a_102,Observed,0.0,1.0,0.6989587533979448
exp1a_102,Observed,1.0,-1.0,0.09055433858308662
exp1a_102,Observed,1.0,0.0,0.6568350016571635
exp1a_102,Observed,1.0,1.0,2.4786514188408018
exp1a_103,Observed,-1.0,-1.0,0.624670212829185
exp1a_103,Observed,-1.0,0.0,2.7693438130711994
exp1a_103,Observed,-1.0,1.0,6.495960025675763
exp1a_103,Observed,0.0,-1.0,0.8839401105508885
exp1a_103,Observed,0.0,0.0,3.1208315954140247
exp1a_103,Observed,0.0,1.0,5.829861196350004
exp1a_103,Observed,1.0,-1.0,0.6852738670359612
exp1a_103,Observed,1.0,0.0,2.9604776575555447
exp1a_103,Observed,1.0,1.0,6.76705635435956
exp1a_104,Observed,-1.0,-1.0,0.46799488944576134
exp1a_104,Observed,-1.0,0.0,1.6451901750467364
exp1a_104,Observed,-1.0,1.0,4.886274911256547
exp1a_104,Observed,0.0,-1.0,2.820443001970343
exp1a_104,Observed,0.0,0.0,4.152175689075873
exp1a_104,Observed,0.0,1.0,5.1644123225915495
exp1a_104,Observed,1.0,-1.0,0.2618023511226614
exp1a_104,Observed,1.0,0.0,1.3219211384918272
exp1a_104,Observed,1.0,1.0,5.639288923557955
exp1a_105,Observed,-1.0,-1.0,0.14412065865547297
exp1a_105,Observed,-1.0,0.0,1.338504942539145
exp1a_105,Observed,-1.0,1.0,4.197828847733528
exp1a_105,Observed,0.0,-1.0,0.2108602264223659
exp1a_105,Observed,0.0,0.0,1.561945389106664
exp1a_105,Observed,0.0,1.0,3.9070415504027176
exp1a_105,Observed,1.0,-1.0,0.15108647006448328
exp1a_105,Observed,1.0,0.0,0.9525725899750234
exp1a_105,Observed,1.0,1.0,2.0280637118074476
exp1a_106,Observed,-1.0,-1.0,0.5329320996815157
exp1a_106,Observed,-1.0,0.0,1.575255430652091
exp1a_106,Observed,-1.0,1.0,3.5636124803671896
exp1a_106,Observed,0.0,-1.0,0.4579609109562067
exp1a_106,Observed,0.0,0.0,1.5693084522891971
exp1a_106,Observed,0.0,1.0,4.115746304538061
exp1a_106,Observed,1.0,-1.0,0.24372052860479687
exp1a_106,Observed,1.0,0.0,1.116744970629924
exp1a_106,Observed,1.0,1.0,3.9163029421517135
exp1a_107,Observed,-1.0,-1.0,1.0650183115193486
exp1a_107,Observed,-1.0,0.0,2.8704738992044345
exp1a_107,Observed,-1.0,1.0,4.25098058200069
exp1a_107,Observed,0.0,-1.0,0.8431716377733554
exp1a_107,Observed,0.0,0.0,2.872710950456501
exp1a_107,Observed,0.0,1.0,5.377827428561805
exp1a_107,Observed,1.0,-1.0,0.8777298818947197
exp1a_107,Observed,1.0,0.0,2.640214894508337
exp1a_107,Observed,1.0,1.0,4.363717840177047
exp1a_108,Observed,-1.0,-1.0,0.017217525259498365
exp1a_108,Observed,-1.0,0.0,0.03860772169008354
exp1a_108,Observed,-1.0,1.0,0.059711674558725905
exp1a_108,Observed,0.0,-1.0,0.017105416020010956
exp1a_108,Observed,0.0,0.0,0.03492523365285197
exp1a_108,Observed,0.0,1.0,0.0491843154435141
exp1a_108,Observed,1.0,-1.0,0.018311767951377365
exp1a_108,Observed,1.0,0.0,0.043072069403441784
exp1a_108,Observed,1.0,1.0,0.0698783805405467
exp1a_109,Observed,-1.0,-1.0,0.09512610247032113
exp1a_109,Observed,-1.0,0.0,0.5943647587102986
exp1a_109,Observed,-1.0,1.0,2.248066332407979
exp1a_109,Observed,0.0,-1.0,0.03558286222182852
exp1a_109,Observed,0.0,0.0,0.43759415214451713
exp1a_109,Observed,0.0,1.0,3.2576533031857875
exp1a_109,Observed,1.0,-1.0,0.0857593864232752
exp1a_109,Observed,1.0,0.0,0.6128730338581013
exp1a_109,Observed,1.0,1.0,2.6513196049782692
exp1a_11,Free,-1.0,-1.0,0.017791501977207212
exp1a_11,Free,-1.0,0.0,0.06972001471386872
exp1a_11,Free,-1.0,1.0,0.11906765642868858
exp1a_11,Free,0.0,-1.0,0.02248824923469851
exp1a_11,Free,0.0,0.0,0.08247171836192352
exp1a_11,Free,0.0,1.0,0.13180925939632832
exp1a_11,Free,1.0,-1.0,0.01622896475467556
exp1a_11,Free,1.0,0.0,0.0939326365968266
exp1a_11,Free,1.0,1.0,0.23693743741235512
exp1a_110,Observed,-1.0,-1.0,0.39623002327496787
exp1a_110,Observed,-1.0,0.0,1.7863386193415207
exp1a_110,Observed,-1.0,1.0,4.324293433644562
exp1a_110,Observed,0.0,-1.0,0.2161726164880598
exp1a_110,Observed,0.0,0.0,1.087743967988451
exp1a_110,Observed,0.0,1.0,2.938919221615556
exp1a_110,Observed,1.0,-1.0,0.3248559777046974
exp1a_110,Observed,1.0,0.0,1.8441905700049839
exp1a_110,Observed,1.0,1.0,5.621545013679038
exp1a_111,Observed,-1.0,-1.0,0.36319315447612244
exp1a_111,Observed,-1.0,0.0,1.4714065404048942
exp1a_111,Observed,-1.0,1.0,4.4964858050727585
exp1a_111,Observed,0.0,-1.0,0.44261365094700894
exp1a_111,Observed,0.0,0.0,1.3765069311538976
exp1a_111,Observed,0.0,1.0,3.229070430077048
exp1a_111,Observed,1.0,-1.0,0.41280510738093995
exp1a_111,Observed,1.0,0.0,1.673888596824872
exp1a_111,Observed,1.0,1.0,5.119806606012869
exp1a_112,Observed,-1.0,-1.0,0.011229688971981186
exp1a_112,Observed,-1.0,0.0,0.043147280310563606
exp1a_112,Observed,-1.0,1.0,0.07199293620658703
exp1a_112,Observed,0.0,-1.0,0.010395140837504762
exp1a_112,Observed,0.0,0.0,0.03300694808822927
exp1a_112,Observed,0.0,1.0,0.04551254533415416
exp1a_112,Observed,1.0,-1.0,0.0093329549489636
exp1a_112,Observed,1.0,0.0,0.049749632222850025
exp1a_112,Observed,1.0,1.0,0.11516256825945978
exp1a_113,Observed,-1.0,-1.0,0.07008472060453683
exp1a_113,Observed,-1.0,0.0,0.3587853286855819
exp1a_113,Observed,-1.0,1.0,1.2211870368978668
exp1a_113,Observed,0.0,-1.0,0.06660160167871093
exp1a_113,Observed,0.0,0.0,0.4509689269319248
exp1a_113,Observed,0.0,1.0,2.0302276792264276
exp1a_113,Observed,1.0,-1.0,0.0577204484983264
exp1a_113,Observed,1.0,0.0,0.36809576095434393
exp1a_113,Observed,1.0,1.0,1.5607312119396255
exp1a_114,Observed,-1.0,-1.0,1.216479374202321
exp1a_114,Observed,-1.0,0.0,4.15495858255377
exp1a_114,Observed,-1.0,1.0,9.030841787306393
exp1a_114,Observed,0.0,-1.0,1.7970300112412074
exp1a_114,Observed,0.0,0.0,4.5215209327970385
exp1a_114,Observed,0.0,1.0,7.239579591276002
exp1a_114,Observed,1.0,-1.0,0.880542787758921
exp1a_114,Observed,1.0,0.0,2.893636920780088
exp1a_114,Observed,1.0,1.0,6.05113992392232
exp1a_115,Observed,-1.0,-1.0,0.8955678091753403
exp1a_115,Observed,-1.0,0.0,3.3738509619361734
exp1a_115,Observed,-1.0,1.0,6.517699739801967
exp1a_115,Observed,0.0,-1.0,1.5659502125680256
exp1a_115,Observed,0.0,0.0,4.186665829849867
exp1a_115,Observed,0.0,1.0,5.739838615888621
exp1a_115,Observed,1.0,-1.0,2.1694824671896993
exp1a_115,Observed,1.0,0.0,4.987912177095538
exp1a_115,Observed,1.0,1.0,5.880611484668653
exp1a_116,Observed,-1.0,-1.0,0.06408226490969295
exp1a_116,Observed,-1.0,0.0,0.29539914946753254
exp1a_116,Observed,-1.0,1.0,0.8972783411919208
exp1a_116,Observed,0.0,-1.0,0.03901211429154517
exp1a_116,Observed,0.0,0.0,0.2704499848871854
exp1a_116,Observed,0.0,1.0,1.2354381035464237
exp1a_116,Observed,1.0,-1.0,0.06093053944518945
exp1a_116,Observed,1.0,0.0,0.37825918419181326
exp1a_116,Observed,1.0,1.0,1.5473569026165637
exp1a_117,Observed,-1.0,-1.0,0.3871535438930717
exp1a_117,Observed,-1.0,0.0,1.8919224894297038
exp1a_117,Observed,-1.0,1.0,4.670559498750693
exp1a_117,Observed,0.0,-1.0,0.2892623045045242
exp1a_117,Observed,0.0,0.0,1.5290956171168504
exp1a_117,Observed,0.0,1.0,4.083409301112402
exp1a_117,Observed,1.0,-1.0,0.8520518177927988
exp1a_117,Observed,1.0,0.0,2.8563592484851696
exp1a_117,Observed,1.0,1.0,4.837323342326734
exp1a_118,Observed,-1.0,-1.0,0.06167329950638068
exp1a_118,Observed,-1.0,0.0,1.4598130071399933
exp1a_118,Observed,-1.0,1.0,4.250704554720243
exp1a_118,Observed,0.0,-1.0,0.06814600552019316
exp1a_118,Observed,0.0,0.0,1.834234548637457
exp1a_118,Observed,0.0,1.0,6.073415321138741
exp1a_118,Observed,1.0,-1.0,0.04077539897103364
exp1a_118,Observed,1.0,0.0,1.275240699675039
exp1a_118,Observed,1.0,1.0,4.906250934802085
exp1a_119,Observed,-1.0,-1.0,0.08436202343496375
exp1a_119,Observed,-1.0,0.0,0.7569771397555414
exp1a_119,Observed,-1.0,1.0,3.4376598820993705
exp1a_119,Observed,0.0,-1.0,0.040732053047212786
exp1a_119,Observed,0.0,0.0,0.5079471091840977
exp1a_119,Observed,0.0,1.0,3.2058636741733344
exp1a_119,Observed,1.0,-1.0,0.1585783105524512
exp1a_119,Observed,1.0,0.0,1.0535253475260566
exp1a_119,Observed,1.0,1.0,3.542342556473902
exp1a_12,Free,-1.0,-1.0,0.10282985154717192
exp1a_12,Free,-1.0,0.0,0.5728323713593282
exp1a_12,Free,-1.0,1.0,1.4978512686660639
exp1a_12,Free,0.0,-1.0,0.10074264884716487
exp1a_12,Free,0.0,0.0,0.3172959286707123
exp1a_12,Free,0.0,1.0,0.4690816336868169
exp1a_12,Free,1.0,-1.0,0.29798801838724354
exp1a_12,Free,1.0,0.0,2.0785943133037295
exp1a_12,Free,1.0,1.0,6.805710371114736
exp1a_120,Observed,-1.0,-1.0,2.7805165706723365
exp1a_120,Observed,-1.0,0.0,5.6499174533505245
exp1a_120,Observed,-1.0,1.0,7.060957157322636
exp1a_120,Observed,0.0,-1.0,2.2761034645997187
exp1a_120,Observed,0.0,0.0,4.864215066482753
exp1a_120,Observed,0.0,1.0,6.393495972339811
exp1a_120,Observed,1.0,-1.0,2.164490997640385
exp1a_120,Observed,1.0,0.0,5.839302576679981
exp1a_120,Observed,1.0,1.0,9.688823272327102
exp1a_121,Observed,-1.0,-1.0,0.11313765234540744
exp1a_121,Observed,-1.0,0.0,1.1813729220608906
