participant,choiceType,incentive,beta0,beta1,n_coh
exp1b_1,Free,0.1,1.0889872311407431,1.414634053583442,3
exp1b_1,Free,1.0,1.1764806151768825,1.6172008587787308,3
exp1b_10,Free,0.1,0.6760608583001582,0.6513432840991551,3
exp1b_10,Free,1.0,1.3165211323871462,1.6908436132166489,3
exp1b_100,Free,0.1,2.6380927762463258,1.2858852003249812,3
exp1b_100,Free,1.0,1.9058058733869305,1.564185463550589,3
exp1b_101,Free,0.1,2.961492018359245,2.2171681055191206,3
exp1b_101,Free,1.0,3.248774071135701,2.0352033713151823,3
exp1b_102,Free,0.1,1.4177110972368014,1.619395639873786,3
exp1b_102,Free,1.0,1.791721429524936,2.0519257500638814,3
exp1b_103,Free,0.1,1.3106257856084944,1.6877955120754076,3
exp1b_103,Free,1.0,0.9839268641452943,1.2553957476569386,3
exp1b_104,Free,0.1,1.0057643669375589,0.9083792411754549,3
exp1b_104,Free,1.0,1.103267664348195,0.8214579436018541,3
exp1b_105,Free,0.1,2.4851899825057395,1.6463795691335914,3
exp1b_105,Free,1.0,2.8251772967850197,2.057540458795235,3
exp1b_106,Free,0.1,0.6827387842631226,0.8560801157389302,3
exp1b_106,Free,1.0,0.702760630475158,0.9074397795433099,3
exp1b_107,Free,0.1,1.9280373282509855,1.7197780114642212,3
exp1b_107,Free,1.0,1.7469449472842165,1.7000841048891429,3
exp1b_108,Free,0.1,1.4547792464931604,1.8132403977629952,3
exp1b_108,Free,1.0,1.2074551198404262,1.507301737404807,3
exp1b_109,Free,0.1,2.3066348646538883,1.9509560449445695,3
exp1b_109,Free,1.0,2.6580917348872735,2.019514714476125,3
exp1b_11,Free,0.1,3.6371519204414886,3.2572571404584516,3
exp1b_11,Free,1.0,3.3584759774669823,2.413604868257114,3
exp1b_110,Free,0.1,1.5821750064594946,1.3557450782966154,3
exp1b_110,Free,1.0,1.6457218680736054,0.871216369074892,3
exp1b_111,Free,0.1,2.646903491174746,2.2444095402113113,3
exp1b_111,Free,1.0,2.7006172847942342,2.3508814338774626,3
exp1b_112,Free,0.1,2.8623968903223838,2.234521434126967,3
exp1b_112,Free,1.0,3.9338469866001877,2.997582178810205,3
exp1b_113,Free,0.1,5.394228705373811,3.683264385852867,3
