participant,choiceType,incentive,coh3,meta_d
exp1b_1,Free,0.1,-1.0,0.017939503035013085
exp1b_1,Free,0.1,0.0,0.4018145801853196
exp1b_1,Free,0.1,1.0,2.8472076102018966
exp1b_1,Free,1.0,-1.0,0.007637434076778068
exp1b_1,Free,1.0,0.0,0.2797652598196297
exp1b_1,Free,1.0,1.0,3.242039151634239
exp1b_10,Free,0.1,-1.0,0.12577099201441896
exp1b_10,Free,0.1,0.0,0.4739540226733262
exp1b_10,Free,0.1,1.0,1.428457560212729
exp1b_10,Free,1.0,-1.0,0.050702423515300396
exp1b_10,Free,1.0,0.0,0.46647132369754046
exp1b_10,Free,1.0,1.0,3.4323896499485977
exp1b_100,Free,0.1,-1.0,1.3512623914668829
exp1b_100,Free,0.1,0.0,2.6399831451552482
exp1b_100,Free,0.1,1.0,3.923032792116845
exp1b_100,Free,1.0,-1.0,0.5119029230259836
exp1b_100,Free,1.0,0.0,1.5652408470076455
exp1b_100,Free,1.0,1.0,3.6402738501271616
exp1b_101,Free,0.1,-1.0,0.8968004215165223
exp1b_101,Free,0.1,0.0,2.656539001006449
exp1b_101,Free,0.1,1.0,5.331136632554763
exp1b_101,Free,1.0,-1.0,1.2620509093040848
exp1b_101,Free,1.0,0.0,3.1518136521685696
exp1b_101,Free,1.0,1.0,5.332457651934448
exp1b_102,Free,0.1,-1.0,0.08626733395149637
exp1b_102,Free,0.1,0.0,0.8418073440598397
exp1b_102,Free,0.1,1.0,3.3250586136990683
exp1b_102,Free,1.0,-1.0,0.1073230577675245
exp1b_102,Free,1.0,0.0,1.0566666729119978
exp1b_102,Free,1.0,1.0,4.211174557895286
exp1b_103,Free,0.1,-1.0,-0.03405457551648517
exp1b_103,Free,0.1,0.0,0.6243954837076383
exp1b_103,Free,0.1,1.0,3.3415364486343293
exp1b_103,Free,1.0,-1.0,-0.029376013482919974
exp1b_103,Free,1.0,0.0,0.4997411240878455
exp1b_103,Free,1.0,1.0,2.481415481830957
exp1b_104,Free,0.1,-1.0,0.1722650850491436
exp1b_104,Free,0.1,0.0,0.8560044483634793
exp1b_104,Free,0.1,1.0,1.9890235674000536
exp1b_104,Free,1.0,-1.0,0.28808688804177734
exp1b_104,Free,1.0,0.0,1.0907133297573208
exp1b_104,Free,1.0,1.0,1.9310027752454857
exp1b_105,Free,0.1,-1.0,0.9088022831896035
exp1b_105,Free,0.1,0.0,2.3452062428708293
exp1b_105,Free,0.1,1.0,4.201561421456786
exp1b_105,Free,1.0,-1.0,0.9029100446987932
exp1b_105,Free,1.0,0.0,2.554630883367002
exp1b_105,Free,1.0,1.0,5.017990962289263
exp1b_106,Free,0.1,-1.0,0.01587774796599863
exp1b_106,Free,0.1,0.0,0.30430062537950964
exp1b_106,Free,0.1,1.0,1.7280379794438592
exp1b_106,Free,1.0,-1.0,0.011806522052163445
exp1b_106,Free,1.0,0.0,0.2697892882345273
exp1b_106,Free,1.0,1.0,1.826686081138783
exp1b_107,Free,0.1,-1.0,0.22879229388036448
exp1b_107,Free,0.1,0.0,1.8869713740637835
exp1b_107,Free,0.1,1.0,3.6683483168088067
exp1b_107,Free,1.0,-1.0,0.15523433720843008
exp1b_107,Free,1.0,0.0,1.5301979576575018
exp1b_107,Free,1.0,1.0,3.5554025469867163
exp1b_108,Free,0.1,-1.0,0.04836643876310013
exp1b_108,Free,0.1,0.0,0.6411240664272899
exp1b_108,Free,0.1,1.0,3.674847234289091
exp1b_108,Free,1.0,-1.0,0.03956512428486414
exp1b_108,Free,1.0,0.0,0.5286316361419364
exp1b_108,Free,1.0,1.0,3.054168599094478
exp1b_109,Free,0.1,-1.0,0.5617682056608901
exp1b_109,Free,0.1,0.0,1.8944560927507434
exp1b_109,Free,0.1,1.0,4.463680295550029
exp1b_109,Free,1.0,-1.0,0.7949865307145881
exp1b_109,Free,1.0,0.0,2.3452727142803926
exp1b_109,Free,1.0,1.0,4.834015959666838
exp1b_11,Free,0.1,-1.0,0.6107122501074561
exp1b_11,Free,0.1,0.0,3.1755169801926497
exp1b_11,Free,0.1,1.0,7.125226531024358
exp1b_11,Free,1.0,-1.0,0.898127194528035
exp1b_11,Free,1.0,0.0,3.4519638068306473
exp1b_11,Free,1.0,1.0,5.725336931042264
exp1b_110,Free,0.1,-1.0,0.35282380146873193
exp1b_110,Free,0.1,0.0,1.329387259847789
exp1b_110,Free,0.1,1.0,3.0643139580619625
exp1b_110,Free,1.0,-1.0,0.7348548395699581
exp1b_110,Free,1.0,0.0,1.7250231869311161
exp1b_110,Free,1.0,1.0,2.477287577719742
exp1b_111,Free,0.1,-1.0,0.5315411424366935
exp1b_111,Free,0.1,0.0,2.3888091082282306
exp1b_111,Free,0.1,1.0,5.020360222859314
exp1b_111,Free,1.0,-1.0,0.5091235119050447
exp1b_111,Free,1.0,0.0,2.3818419628176857
exp1b_111,Free,1.0,1.0,5.21088637965997
exp1b_112,Free,0.1,-1.0,0.6978317128298732
exp1b_112,Free,0.1,0.0,2.72248437705347
exp1b_112,Free,0.1,1.0,5.166874581083807
exp1b_112,Free,1.0,-1.0,1.0034369520160489
exp1b_112,Free,1.0,0.0,3.7995026981480553
exp1b_112,Free,1.0,1.0,6.998601309636458
exp1b_113,Free,0.1,-1.0,1.8715047465266443
exp1b_113,Free,0.1,0.0,5.073147851362411
exp1b_113,Free,0.1,1.0,9.238033518232378
exp1b_113,Free,1.0,-1.0,1.2213139994101474
exp1b_113,Free,1.0,0.0,4.377806737559076
exp1b_113,Free,1.0,1.0,10.541472080531435
exp1b_114,Free,0.1,-1.0,0.15632123445484017
exp1b_114,Free,0.1,0.0,0.7242535187885857
exp1b_114,Free,0.1,1.0,1.9232704477144424
exp1b_114,Free,1.0,-1.0,0.23827116762254885
exp1b_114,Free,1.0,0.0,1.0859507729241653
exp1b_114,Free,1.0,1.0,2.836781533075479
exp1b_115,Free,0.1,-1.0,1.0384726954519585
exp1b_115,Free,0.1,0.0,2.675212348826017
exp1b_115,Free,0.1,1.0,5.311804462872929
exp1b_115,Free,1.0,-1.0,1.0534545626300607
exp1b_115,Free,1.0,0.0,3.5144667087484103
exp1b_115,Free,1.0,1.0,9.03698787800159
exp1b_116,Free,0.1,-1.0,0.38235504645408547
exp1b_116,Free,0.1,0.0,1.5265722382780011
exp1b_116,Free,0.1,1.0,4.225703098876852
exp1b_116,Free,1.0,-1.0,0.6112747060213608
exp1b_116,Free,1.0,0.0,1.9205589021272371
exp1b_116,Free,1.0,1.0,4.183597771820474
exp1b_117,Free,0.1,-1.0,1.066926836983482
exp1b_117,Free,0.1,0.0,3.063718204648069
exp1b_117,Free,0.1,1.0,6.2560833148034565
exp1b_117,Free,1.0,-1.0,1.173601732683105
exp1b_117,Free,1.0,0.0,2.9634040205775913
exp1b_117,Free,1.0,1.0,5.321088942660345
exp1b_118,Free,0.1,-1.0,0.6360553117770569
exp1b_118,Free,0.1,0.0,2.2893841045215395
exp1b_118,Free,0.1,1.0,5.589884511431141
exp1b_118,Free,1.0,-1.0,0.7067095839257491
exp1b_118,Free,1.0,0.0,1.824613810040836
exp1b_118,Free,1.0,1.0,3.195665595860053
exp1b_119,Free,0.1,-1.0,0.5641223792919224
exp1b_119,Free,0.1,0.0,1.9781494869106118
exp1b_119,Free,0.1,1.0,4.731057242932634
exp1b_119,Free,1.0,-1.0,0.4026981241259806
exp1b_119,Free,1.0,0.0,1.6084520955379904
exp1b_119,Free,1.0,1.0,4.381773973411835
exp1b_12,Free,0.1,-1.0,1.1194765662481634
exp1b_12,Free,0.1,0.0,3.4714053132055347
exp1b_12,Free,0.1,1.0,6.012086825222835
exp1b_12,Free,1.0,-1.0,0.6061002309996029
exp1b_12,Free,1.0,0.0,2.108375301017954
exp1b_12,Free,1.0,1.0,4.096198494655422
exp1b_120,Free,0.1,-1.0,1.9343299836681707
exp1b_120,Free,0.1,0.0,4.01149796096026
exp1b_120,Free,0.1,1.0,6.370112797106254
exp1b_120,Free,1.0,-1.0,1.7826091721690496
exp1b_120,Free,1.0,0.0,4.073997176023753
exp1b_120,Free,1.0,1.0,7.129348510008953
exp1b_121,Free,0.1,-1.0,0.48173625144361015
exp1b_121,Free,0.1,0.0,1.7661757568508076
exp1b_121,Free,0.1,1.0,3.4402652519312493
