participant,choiceType,incentive,beta0,beta1,n_coh
exp2_1,Observed,-1.0,3.483216783597433,2.904277116403362,3
exp2_1,Observed,0.0,5.0938586419161185,2.2759724199264704,3
exp2_1,Observed,1.0,3.7711822076349195,2.3950976367690715,3
exp2_10,Observed,-1.0,0.0010667546382907614,0.0006257054290854634,3
exp2_10,Observed,0.0,0.0010220994336939114,0.0005293193019076573,3
exp2_10,Observed,1.0,0.0010284928757373474,0.0005137709395161151,3
exp2_100,Free,-1.0,2.4329651946666155,2.670619440129926,3
exp2_100,Free,0.0,2.3997710664843823,2.4905173022741516,3
exp2_100,Free,1.0,2.2254888288174004,2.3175556269782933,3
exp2_101,Free,-1.0,1.2645486283108587,1.725256395086987,3
exp2_101,Free,0.0,0.8727019394335082,1.2215965997473528,3
exp2_101,Free,1.0,0.3421272452148913,0.5005633371238277,3
exp2_102,Free,-1.0,1.427670030070547,1.3230770692963216,3
exp2_102,Free,0.0,2.1859599943796284,1.8900409371705615,3
exp2_102,Free,1.0,1.773329670737776,1.5517978338683398,3
exp2_103,Free,-1.0,1.1427791425357383,1.3488161288858038,3
exp2_103,Free,0.0,0.8885191824683458,1.0382692331149799,3
exp2_103,Free,1.0,1.3534220127153995,1.5880512213163542,3
exp2_104,Free,-1.0,2.7830811146539625,2.667047149207781,3
exp2_104,Free,0.0,2.3547011331450025,2.295368401997307,3
exp2_104,Free,1.0,2.4513039709576976,1.9910295455275786,3
exp2_105,Free,-1.0,2.3725276156360597,1.3050092592749043,3
exp2_105,Free,0.0,2.511018405311598,1.3735307677437765,3
exp2_105,Free,1.0,1.6735098198199656,1.3858580253214223,3
exp2_106,Free,-1.0,3.377622689008528,2.404963741220481,3
exp2_106,Free,0.0,2.7560879999353225,2.6316354725486675,3
exp2_106,Free,1.0,2.99892448572608,2.593319565790584,3
exp2_107,Free,-1.0,3.37206421622306,1.584222179821409,3
exp2_107,Free,0.0,2.8603078400560116,0.9703101706962477,3
exp2_107,Free,1.0,3.9313036608114005,3.730633007475394,3
exp2_108,Free,-1.0,3.3341648884800597,2.5295522056560356,3
exp2_108,Free,0.0,3.1553267519452515,2.265822112163032,3
exp2_108,Free,1.0,3.1861137491331752,3.2012083598252756,3
exp2_109,Free,-1.0,4.133155257743502,3.8765276322996582,3
exp2_109,Free,0.0,3.0669828520694757,2.5334316469412714,3
exp2_109,Free,1.0,3.8717285075522065,4.38189211953799,3
exp2_11,Observed,-1.0,1.0556741616729262,1.1324459756143521,3
exp2_11,Observed,0.0,1.2561313707677022,1.4829063945781853,3
exp2_11,Observed,1.0,1.5244727235701994,1.8410601263513664,3
exp2_110,Free,-1.0,0.7892486359784406,1.0969102240207775,3
exp2_110,Free,0.0,1.0828681824800355,1.5265333004214308,3
exp2_110,Free,1.0,1.1298930996533323,1.5924911050376465,3
exp2_111,Free,-1.0,4.0790788592083205,3.001357176874399,3
exp2_111,Free,0.0,4.158144809508219,2.299426063715865,3
exp2_111,Free,1.0,3.6455075513522326,2.743330144680526,3
exp2_112,Free,-1.0,1.8359450941380449,1.3968411562411107,3
exp2_112,Free,0.0,1.99837649314513,1.8252127840826256,3
exp2_112,Free,1.0,1.7581248479454163,1.5957732352593081,3
exp2_113,Free,-1.0,1.3638265563384713,1.6748556390009595,3
exp2_113,Free,0.0,1.0789444438893678,1.258331817323193,3
exp2_113,Free,1.0,1.3334525203579584,1.529541087508061,3
exp2_114,Free,-1.0,1.363570728413041,1.1509034899139552,3
exp2_114,Free,0.0,2.0199746079471046,1.8519988286721438,3
exp2_114,Free,1.0,1.267078358689035,1.29476505488943,3
exp2_115,Free,-1.0,1.6563533028136423,2.1969115832544004,3
exp2_115,Free,0.0,1.5609280483958636,2.13259217283637,3
exp2_115,Free,1.0,1.2963235827999833,1.6465415273883282,3
exp2_116,Free,-1.0,2.271461163650904,0.8743394472070369,3
exp2_116,Free,0.0,2.0761516343532778,0.3382494935174881,3
exp2_116,Free,1.0,3.0306354862703895,0.2807148058988065,3
