Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,75.66553981248451,1.3668545124804594,55.35742035571341,95.0,4.2539372053342015e-74,72.95199051993666,78.37908910503236
(Intercept)|Correct,Observed,70.42656104547805,1.0321332388542488,68.23398219754769,99.0,4.710356309711232e-85,68.37858477664766,72.47453731430845
(Intercept)|Error,Free,66.20839383975502,1.5977687094878505,41.43803383217931,95.0,1.263219062283047e-62,63.036421905874576,69.38036577363546
(Intercept)|Error,Observed,42.72128427816057,1.337396664834001,31.943615085553677,99.0,6.053290521992213e-54,40.067599144801804,45.37496941151933
z(log(RT)),Free,-4.237679962246843,0.34397705165214654,-12.319658947865742,95.0,2.100761670973334e-21,-4.92056074922213,-3.554799175271557
z(log(RT)),Observed,-2.826984583151624,0.29800250171568493,-9.486445807924,99.0,1.4436188567975026e-15,-3.418286198671046,-2.2356829676322016
Difficulty|Correct,Free,12.001027363693666,0.9800152141512073,12.24575617847706,95.0,2.9900376610502354e-21,10.055451176349326,13.946603551038006
Difficulty|Correct,Observed,18.65283588098967,1.0847842515603214,17.19497296735271,99.0,1.7172086367845375e-31,16.500388580229696,20.805283181749644
Difficulty|Error,Free,-3.6960399631405814,1.298978263758559,-2.845343964760572,95.0,0.005434293355501625,-6.274837864799089,-1.1172420614820733
Difficulty|Error,Observed,-17.53674158811319,1.5307417760551085,-11.456368319225808,99.0,7.535334773847956e-20,-20.574065368663238,-14.499417807563145
Incentive|Correct,Free,3.536037905071732,0.5303714293697696,6.667097262900341,95.0,1.7102944931016471e-09,2.4831174926847517,4.5889583174587125
Incentive|Correct,Observed,1.238712923399758,0.22558270856596896,5.491169652471441,99.0,3.0906666962106196e-07,0.7911078890783839,1.686317957721132
Incentive|Error,Free,4.077422026213406,1.0893969857720052,3.742824773215181,95.0,0.0003115652868361187,1.9146955669936685,6.240148485433144
Incentive|Error,Observed,0.7818774781586559,0.559790177439426,1.3967331147807815,99.0,0.16561716653995273,-0.32886768124822163,1.8926226375655335
Incentive×Difficulty|Correct,Free,-1.8655510263645982,0.37808056156803377,-4.934268555430353,95.0,3.4231606184076958e-06,-2.616135840623459,-1.1149662121057373
Incentive×Difficulty|Correct,Observed,-0.5163301751567576,0.5123646990791493,-1.007739557554873,99.0,0.3160362391396736,-1.532972896464079,0.5003125461505639
Incentive×Difficulty|Error,Free,0.20021376300532093,1.8121715882701055,0.11048278446769189,92.0,0.9122671612279355,-3.398915432425532,3.7993429584361738
Incentive×Difficulty|Error,Observed,-0.019611436597557895,1.2095109199303045,-0.016214352656434027,99.0,0.9870960173678566,-2.4195435070521496,2.3803206338570337
