Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,76.0101637870593,1.3703196967339986,55.468927410312276,95.0,3.5337361190502678e-74,73.28973523399478,78.73059234012382
(Intercept)|Correct,Observed,70.52202865161777,1.037962635019698,67.94274309332863,99.0,7.131044038691969e-85,68.46248559609839,72.58157170713716
(Intercept)|Error,Free,63.763151613189855,1.6343115485646005,39.015297706971715,95.0,2.821499057152322e-60,60.518632971361356,67.00767025501835
(Intercept)|Error,Observed,42.303165337783454,1.3517270037061384,31.295642701371996,99.0,3.841456633778751e-53,39.62104570311262,44.98528497245429
Difficulty|Correct,Free,14.56200094857737,1.0741646430768084,13.55658189126982,95.0,6.194535630450641e-24,12.429514512979011,16.69448738417573
Difficulty|Correct,Observed,19.735127098159147,1.1236966422311625,17.56268227248054,99.0,3.527606781415551e-32,17.505469172203338,21.964785024114956
Difficulty|Error,Free,-4.920566953835602,1.3826339261292406,-3.5588356837236,95.0,0.0005836087609991981,-7.665442343164423,-2.1756915645067805
Difficulty|Error,Observed,-17.02521138853989,1.4930220849637823,-11.403187909945007,99.0,9.811817281643683e-20,-19.987691118617924,-14.062731658461857
Incentive|Correct,Free,3.5241197093907264,0.5289662885440168,6.662276567928156,95.0,1.7489611132816661e-09,2.4739888542381383,4.5742505645433145
Incentive|Correct,Observed,1.1829119683309586,0.22530729835056773,5.250215936149579,99.0,8.693131445164151e-07,0.7358534076276235,1.6299705290342936
Incentive|Error,Free,3.741509506587166,0.9882999052614859,3.785803769349984,95.0,0.0002682979440012519,1.7794861279024126,5.70353288527192
Incentive|Error,Observed,0.8214911095147042,0.5418894844058129,1.5159753661126627,99.0,0.13271215807081516,-0.2537351913297332,1.8967174103591415
Incentive×Difficulty|Correct,Free,-1.9942082719149863,0.4044774217844832,-4.93033273184172,95.0,3.4784967108886506e-06,-2.7971974794079477,-1.1912190644220246
Incentive×Difficulty|Correct,Observed,-0.4450221365962562,0.5134894405477245,-0.8666626836991309,99.0,0.38822250368738687,-1.4638965889916769,0.5738523157991645
Incentive×Difficulty|Error,Free,-0.5994072260414818,1.5286876788088546,-0.3921057481856181,92.0,0.6958869480331832,-3.635512907815532,2.4366984557325684
Incentive×Difficulty|Error,Observed,-0.06406572427265005,1.201636655892374,-0.05331538777424594,99.0,0.9575880575689298,-2.448373546541913,2.320242097996613
