participant,group,intercept_corr,intercept_err,logRT_z,difficulty_corr,difficulty_err,incentive_corr,incentive_err,incdiff_corr,incdiff_err
Exp1a_1,Free,82.17005281112257,72.81422332371493,-4.598787602957422,17.914793909521624,1.6730041222602878,16.781167436897878,28.490252598608738,-13.538101581851054,11.306991919006528
Exp1a_10,Free,94.57823002666842,57.94376578971139,-6.852476513417258,6.634903963568696,-44.10235710853793,1.2393651214669408,0.028287179309284483,-2.0706704166893735,
Exp1a_100,Non-Free,76.70732623500497,40.8444997937709,-6.556244397116018,19.188501027725927,-28.185722689036297,3.494321810489719,-0.9655713690665886,3.0577488205466876,-6.818908520328386
Exp1a_101,Non-Free,75.90936150933142,39.55656803084276,-0.06504619235115428,22.486989715240846,-14.373834467131523,-0.051748973084700584,3.2401049206428363,3.2251965768046706,4.191392306672324
Exp1a_102,Non-Free,63.054796197855985,52.58430592021212,-6.789130912089931,11.300482116845274,-3.0117952012160245,1.1039888397620814,-6.049993356997447,2.097161734426476,-7.167525897865961
Exp1a_103,Non-Free,72.12285728581274,29.879168955194597,-1.099963147170559,37.93975475298322,-40.576658259732085,-1.8536189859770595,-3.9942696057949396,3.098961879394596,-6.978264355711776
Exp1a_104,Non-Free,72.90343535237501,31.739957715661287,-7.213698222331274,30.832265567359954,-33.78663625383033,-0.30388645529615976,-2.7972154356218932,1.2170783818060151,-12.831081442761755
Exp1a_105,Non-Free,82.89049874793005,50.79140400204198,-8.987292378540307,16.01000083400979,-33.661409982094426,2.2009521872627174,14.098475370448963,-5.4219726354658615,19.701244385852707
Exp1a_106,Non-Free,57.873418621252675,43.65310476048444,-0.8866956981954104,13.778476820510116,-5.126753997212411,-0.6749729709186814,1.5209378083120484,0.8477698041152264,3.8212749967125514
Exp1a_107,Non-Free,69.60901422274725,35.22882114868579,-2.557138315965646,22.152795629684608,-24.441191917191055,2.4027098942518084,-6.618935468189228,-3.294363268545238,-22.125159825163916
Exp1a_108,Non-Free,52.526840731795836,49.132881340177,-1.048977855195382,3.8605271588997803,-3.58786309028606,2.6582545284101697,1.0917406260902531,-0.7870622457857297,-2.019098024501897
Exp1a_109,Non-Free,55.371385685470955,44.117245990409906,-2.4473021228103864,15.01148129918587,-11.740357036237874,0.1392751831158255,-7.504502486690287,-0.34182854828953374,-16.959127779810323
Exp1a_11,Free,63.120006058877806,61.64600694683591,2.0695434365912107,0.24646975279742311,-1.9092489920237448,22.776776693231724,24.670454776359076,-0.37787143246302674,4.070528409385555
Exp1a_110,Non-Free,75.4454819069814,53.98219845239207,-5.996899985666026,21.461807329965158,-21.360098424755186,-3.2057512989451844,-3.7515320735749853,8.279110300619841,-13.140469087071645
Exp1a_111,Non-Free,71.08577493482333,36.27673607718403,-7.051773235338835,19.926901996077575,-26.158253150867182,2.999913865076282,5.411832152684228,0.012241338834316662,4.945009077131234
Exp1a_112,Non-Free,57.990677946923526,55.824352520547336,-0.843848349382311,1.9538126801056155,-3.0977711162464416,-0.8350334411661053,0.09453234358009155,3.588259943388088,-7.293107434676043
Exp1a_113,Non-Free,63.16373101807109,51.596174403787984,-5.917721954043614,15.698259620496755,-8.287196778856504,4.1862417453519996,4.354174983655777,3.3773649790866886,30.841590493445757
Exp1a_114,Non-Free,84.10791237160618,32.90898800318815,-2.534046061595184,21.69002543766728,-30.85767123711735,-0.7120878393418888,0.8053343568795039,1.0667430772597024,0.30868171529747634
