agency,incentive,correct,conf_mean,conf_sem,group
1,-1.0,-0.5,60.460434451895125,1.063409557462363,Free
1,-1.0,0.5,72.74278770891839,1.0244469957353932,Free
1,0.0,-0.5,63.64032545722954,1.0542447431690303,Free
1,0.0,0.5,75.59004955932328,0.9089424038782381,Free
1,1.0,-0.5,67.24578853541827,1.005620556029065,Free
1,1.0,0.5,78.74486885101646,0.8651514606774542,Free
0,-1.0,-0.5,46.76811662926053,0.7014802893662123,Non-Free
0,-1.0,0.5,71.6806400336372,0.6410224071393356,Non-Free
0,0.0,-0.5,47.8745342946602,0.7564106468229059,Non-Free
0,0.0,0.5,72.46927674460679,0.6075473144244158,Non-Free
0,1.0,-0.5,48.938833874378794,0.7816285601168196,Non-Free
0,1.0,0.5,74.24857819094893,0.6373283512546253,Non-Free
