agency,difficulty,incentive,correct,conf_mean,conf_sem,group
1,-0.5,-1.0,-0.5,60.743505298460605,1.0662506069313802,Free
1,-0.5,-1.0,0.5,63.87270169309631,1.0939516086809018,Free
1,-0.5,0.0,-0.5,64.38974256325653,1.0657916528131801,Free
1,-0.5,0.0,0.5,67.8424087554628,1.0154963404389796,Free
1,-0.5,1.0,-0.5,67.6149536274819,1.0279676908391882,Free
1,-0.5,1.0,0.5,71.27866283225832,1.0229280305772512,Free
1,0.0,-1.0,-0.5,59.70487560192617,1.224128905711258,Free
1,0.0,-1.0,0.5,68.89872257851532,1.147614540657716,Free
1,0.0,0.0,-0.5,62.268377963869774,1.2682549318392993,Free
1,0.0,0.0,0.5,72.4120861363737,1.0429317974021872,Free
1,0.0,1.0,-0.5,67.06504146602461,1.2251592389466546,Free
1,0.0,1.0,0.5,75.64871199612132,0.9985137110502927,Free
1,0.5,-1.0,-0.5,58.78271914826537,1.6782021762375208,Free
1,0.5,-1.0,0.5,80.44002531830583,1.1053721129553564,Free
1,0.5,0.0,-0.5,60.147058270527666,1.5559894631246813,Free
1,0.5,0.0,0.5,81.99327440253472,0.9432353175454675,Free
1,0.5,1.0,-0.5,66.01774809095014,1.6381304066622404,Free
1,0.5,1.0,0.5,84.89340082107653,0.8779770603801378,Free
0,-0.5,-1.0,-0.5,51.10664669732491,0.6854852469536009,Non-Free
0,-0.5,-1.0,0.5,60.30015149208555,0.59049733969654,Non-Free
0,-0.5,0.0,-0.5,52.013281622685646,0.6986072940572228,Non-Free
0,-0.5,0.0,0.5,61.72610249774883,0.6114747795845252,Non-Free
0,-0.5,1.0,-0.5,52.57211852492426,0.7212458487674142,Non-Free
0,-0.5,1.0,0.5,63.372553778566235,0.6139477780220749,Non-Free
0,0.0,-1.0,-0.5,43.249256014153275,1.0599998532887267,Non-Free
0,0.0,-1.0,0.5,67.8511811058686,0.7919295152727834,Non-Free
0,0.0,0.0,-0.5,44.37040874370226,1.1997706904842118,Non-Free
0,0.0,0.0,0.5,67.83847256816007,0.7622742182582287,Non-Free
0,0.0,1.0,-0.5,46.05133810065551,1.1681321597727043,Non-Free
0,0.0,1.0,0.5,70.02692635817635,0.7922745418428654,Non-Free
0,0.5,-1.0,-0.5,34.865361719088995,1.361837801698038,Non-Free
0,0.5,-1.0,0.5,80.66272150206866,0.8044853046281977,Non-Free
0,0.5,0.0,-0.5,34.836611526665294,1.3499035447887164,Non-Free
0,0.5,0.0,0.5,81.43542914389263,0.7322550691467149,Non-Free
0,0.5,1.0,-0.5,37.956224631739076,1.5066530815299357,Non-Free
0,0.5,1.0,0.5,83.11754939950951,0.7574467057114525,Non-Free
