Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,74.12654138089276,0.8901525099381548,83.27397895675526,192.0,1.219162459090864e-152,72.37080769355498,75.88227506823054
(Intercept)|Correct,Non-Free,70.81334340421485,0.571535608618779,123.90014259189962,295.0,1.96797016603872e-256,69.68853954243598,71.93814726599372
(Intercept)|Error,Free,65.16026116719252,1.002879207695448,64.97318985895281,192.0,1.1664664326112512e-132,63.18218573672066,67.13833659766436
(Intercept)|Error,Non-Free,45.496803313309016,0.7641244177310705,59.54109338424696,295.0,1.9562417811425505e-166,43.99297733469578,47.00062929192225
z(log(RT)),Free,-4.088044621579662,0.22036264399726738,-18.551441149119437,192.0,1.0957708767277131e-44,-4.522687127416897,-3.653402115742428
z(log(RT)),Non-Free,-3.972867201140676,0.22510829052714318,-17.648693399240372,295.0,4.4023014399199966e-48,-4.415888896875931,-3.529845505405421
Difficulty|Correct,Free,12.475013648470764,0.65997400029486,18.902280457862336,192.0,1.0651299276401748e-45,11.173283245929674,13.776744051011853
Difficulty|Correct,Non-Free,18.10635747943096,0.5606052334052054,32.29787451224824,295.0,7.235820456654924e-99,17.00306501268245,19.209649946179475
Difficulty|Error,Free,-2.1247876060413144,0.871891697750492,-2.4369857076553583,191.0,0.01572660221025003,-3.8445608390477615,-0.4050143730348672
Difficulty|Error,Non-Free,-15.564556592071575,0.8862777054444666,-17.561715133368928,294.0,1.0325032454296475e-47,-17.308809335343007,-13.820303848800144
Incentive|Correct,Free,3.0722787884636302,0.33120413482085537,9.276088265399801,192.0,3.7265246113089627e-17,2.4190129150337625,3.725544661893498
Incentive|Correct,Non-Free,1.36361177748446,0.1749671724248519,7.793529258010551,295.0,1.1232965121288163e-13,1.0192697132977389,1.7079538416711812
Incentive|Error,Free,3.2485091020596286,0.6728778655705645,4.827784161550724,192.0,2.8114271318598216e-06,1.9213271609243303,4.575691043194927
Incentive|Error,Non-Free,1.0324515090682342,0.3431174284960127,3.009032544903887,295.0,0.002846958961257364,0.35718333190487606,1.7077196862315924
Incentive×Difficulty|Correct,Free,-1.432095606449283,0.25205908539853394,-5.681586935003661,192.0,4.888374473829413e-08,-1.9292560620935657,-0.9349351508050001
Incentive×Difficulty|Correct,Non-Free,-0.3406566299030262,0.2684495477713645,-1.268978222280932,295.0,0.2054491490237079,-0.8689755718421812,0.18766231203612888
Incentive×Difficulty|Error,Free,-0.39961806119925575,1.1843981356673978,-0.33740179857179065,185.0,0.7361965326265534,-2.7362815474056807,1.9370454250071694
Incentive×Difficulty|Error,Non-Free,0.5493229900798431,0.7236299083319023,0.759121456638148,294.0,0.44838809642202593,-0.8748282042551054,1.9734741844147916
