Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,74.4854163253215,0.8933764325691066,83.37517490932886,192.0,9.716365843599512e-153,72.72332378429816,76.24750886634483
(Intercept)|Correct,Non-Free,71.11847603149604,0.5828497346464679,122.01854406716595,295.0,1.648844308084296e-254,69.971405538458,72.26554652453409
(Intercept)|Error,Free,62.726179567812274,1.006118053476398,62.344751046934405,192.0,2.2656614592828902e-129,60.741715849286166,64.71064328633838
(Intercept)|Error,Non-Free,44.0441560323569,0.8132942780543386,54.15525132886055,295.0,2.645581974452002e-155,42.44356189452363,45.64475017019017
Difficulty|Correct,Free,15.015606357661515,0.7480840058303424,20.072085809393574,192.0,4.9474649312973275e-49,13.540088089352443,16.491124625970585
Difficulty|Correct,Non-Free,20.206964652940126,0.599884351272362,33.68476708899125,295.0,4.151652599892024e-103,19.026369385109774,21.387559920770478
Difficulty|Error,Free,-3.16785946363615,0.9005616772246816,-3.5176485339668733,191.0,0.0005440260281677317,-4.944183141402842,-1.3915357858694575
Difficulty|Error,Non-Free,-15.915890891900325,0.8917634767331882,-17.847659505192198,294.0,8.839772182487781e-49,-17.670939993424405,-14.160841790376248
Incentive|Correct,Free,3.0498259044772684,0.3307731077245785,9.220295825913198,192.0,5.346709350682162e-17,2.397410187379759,3.7022416215747778
Incentive|Correct,Non-Free,1.3114272920556482,0.17797994031203712,7.368399437354762,295.0,1.7436229565731563e-12,0.9611559858356284,1.661698598275668
Incentive|Error,Free,3.2414382203992376,0.6226261788629502,5.2060744158217105,192.0,4.937930566806852e-07,2.0133725298087275,4.469503910989747
Incentive|Error,Non-Free,1.1123722820465132,0.32904998063902996,3.380557202544841,295.0,0.0008208728039627592,0.4647893784449312,1.7599551856480953
Incentive×Difficulty|Correct,Free,-1.5126883845795622,0.2694259725844148,-5.6144861242195825,192.0,6.830470517454709e-08,-2.04410322757435,-0.9812735415847748
Incentive×Difficulty|Correct,Non-Free,-0.25078961726094806,0.2651210265030795,-0.9459438980334327,295.0,0.344951359268409,-0.7725579024778949,0.2709786679559988
Incentive×Difficulty|Error,Free,-0.4376788950699431,1.0778300460379002,-0.40607412706562535,185.0,0.6851574417139933,-2.564097400021223,1.688739609881337
Incentive×Difficulty|Error,Non-Free,0.6791764204060589,0.710267280916001,0.9562265342282901,294.0,0.3397434092180777,-0.7186762453928355,2.077029086204953
