Effect,Contrast,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free − Observed,5.238978767006458,1.7127726880809244,3.0587706141417224,178.5263991930325,0.0025648284299785123,1.8590940897239605,8.618863444288955
(Intercept)|Correct,Free − Forced,3.768872777276769,1.679003801474626,2.2447077093968844,172.53234800765426,0.026057481850755588,0.45483992767509474,7.082905626878444
(Intercept)|Correct,Free − Replayed,5.540844163000557,1.6703518792022078,3.3171718079228736,171.08128593903032,0.0011107054386880588,2.2436910377869204,8.837997288214194
(Intercept)|Correct,Observed − Forced,-1.4701059897296886,1.4198808153594487,-1.0353728100464017,195.57510807853055,0.3017733450183816,-4.270349268248138,1.3301372887887606
(Intercept)|Correct,Observed − Replayed,0.3018653959940991,1.40963937402937,0.21414370338651573,195.24890528924,0.8306584673470945,-2.478208958156803,3.0819397501450014
(Intercept)|Correct,Forced − Replayed,1.7719713857237878,1.3684102634605617,1.2949123760900942,193.95355059021452,0.19688980221031255,-0.926903805045328,4.470846576492903
(Intercept)|Error,Free − Observed,23.48710956159445,2.0836253713485973,11.272232467774545,186.7742180553392,8.135905042017441e-23,19.3766447664944,27.5975743566945
(Intercept)|Error,Free − Forced,23.91104437928034,2.0286970553872985,11.786404636307555,180.62016697767618,3.7646388870753884e-24,19.908049841458602,27.91403891710208
(Intercept)|Error,Free − Replayed,14.679974392847932,1.982215154015107,7.405843085758213,175.17903251109587,5.273216792752708e-12,10.76787770040411,18.592071085291753
(Intercept)|Error,Observed − Forced,0.4239348176858897,1.8306765778333798,0.2315727544772654,195.36083424868315,0.8171122422401129,-3.186491305659651,4.03436094103143
(Intercept)|Error,Observed − Replayed,-8.80713516874652,1.7790283603410522,-4.950531068014076,193.2140650488839,1.6078527818322613e-06,-12.315944628491177,-5.298325709001862
(Intercept)|Error,Forced − Replayed,-9.23106998643241,1.7143683855307437,-5.384531156980362,193.2225093003202,2.0936304131412308e-07,-12.612348489877673,-5.849791482987145
z(log(RT)),Free − Observed,-1.4106953790952192,0.4551106492844463,-3.099675609246243,188.9700168639981,0.0022334479931245873,-2.3084453241804974,-0.5129454340099409
z(log(RT)),Free − Forced,2.647915190249808,0.5451388077840413,4.857322855097099,185.0845195674637,2.5252538956920695e-06,1.5724304533887319,3.7233999271108846
z(log(RT)),Free − Replayed,-2.008272734922291,0.4240782511042457,-4.735618319715771,173.5290781966502,4.519654750009608e-06,-2.845288256002246,-1.1712572138423354
z(log(RT)),Observed − Forced,4.058610569345028,0.5173602214296237,7.844844658002218,174.97330531834356,4.1173667833552723e-13,3.037540904376772,5.079680234313283
z(log(RT)),Observed − Replayed,-0.5975773558270716,0.3877210879293761,-1.5412557491222172,190.4127605277795,0.12491476996577847,-1.3623575025120962,0.16720279085795298
z(log(RT)),Forced − Replayed,-4.656187925172099,0.49028385521576645,-9.496922804286472,156.67104705646386,3.5409548706087016e-17,-5.6246070754258986,-3.6877687749182995
Difficulty|Correct,Free − Observed,-6.651808517296004,1.4619119988566767,-4.550074506877439,192.74725227774806,9.474734333934e-06,-9.535207715451904,-3.768409319140105
Difficulty|Correct,Free − Forced,-5.416232313812941,1.2911710784933341,-4.194821587959618,187.05297141814663,4.213296728749544e-05,-7.96336087178533,-2.8691037558405514
Difficulty|Correct,Free − Replayed,-6.23679689566297,1.380898633590047,-4.516476983867096,191.93953903461747,1.0963312073367168e-05,-8.960481956980246,-3.513111834345694
Difficulty|Correct,Observed − Forced,1.2355762034830633,1.3723883584478156,0.9003109038905809,185.3769901604128,0.36912290816637006,-1.4719312916486733,3.9430836986148
Difficulty|Correct,Observed − Replayed,0.4150116216330346,1.4571232235869103,0.28481573480891076,194.12527124948983,0.7760889305469418,-2.458813563081866,3.2888368063479354
Difficulty|Correct,Forced − Replayed,-0.8205645818500287,1.2857465342176992,-0.6382008895316943,190.00343175965943,0.5241113609292268,-3.35673556189864,1.7156063981985827
Difficulty|Error,Free − Observed,13.84070162497261,2.007614234527527,6.89410414956033,190.15878670607918,7.771192123258096e-11,9.880647163632805,17.800756086312415
Difficulty|Error,Free − Forced,14.919113754878463,1.9685999056831862,7.5785403178209085,189.32842264043106,1.5125560630426536e-12,11.03590667376308,18.802320835993847
Difficulty|Error,Free − Replayed,6.753289639786539,1.966264687292901,3.4345781030550278,188.20357057177236,0.00073002950356013,2.874539826882949,10.63203945269013
Difficulty|Error,Observed − Forced,1.0784121299058533,2.128664239352697,0.50661448149934,195.88685962765797,0.6129951031919809,-3.119629426423315,5.276453686235022
Difficulty|Error,Observed − Replayed,-7.087411985186071,2.126504802660506,-3.3328925362965984,194.91440939458138,0.0010284517400804384,-11.281324871658867,-2.8934990987132743
Difficulty|Error,Forced − Replayed,-8.165824115091924,2.0897113077448037,-3.9076326403690675,192.99817246988698,0.00012889697127347886,-12.287428166868583,-4.044220063315266
Incentive|Correct,Free − Observed,2.297324981671974,0.5763518122602647,3.9859768509490956,128.44723916147902,0.00011205160298252589,1.1569523417308925,3.4376976216130557
Incentive|Correct,Free − Forced,1.7407973903255716,0.6687185462561297,2.60318395544965,179.08929464172,0.010010565167950753,0.42121592732596813,3.060378853325175
Incentive|Correct,Free − Replayed,2.4766070545584675,0.5835895465597224,4.243748143122404,133.45677892011435,4.085869120638706e-05,1.322325807680997,3.630888301435938
Incentive|Correct,Observed − Forced,-0.5565275913464025,0.46559445810612676,-1.1953054458812922,151.6555333226653,0.2338335018256271,-1.476416501135438,0.363361318442633
Incentive|Correct,Observed − Replayed,0.17928207288649367,0.331919363951561,0.5401374320320081,194.54731435811945,0.5897200246418348,-0.4753401527878054,0.8339042985607927
Incentive|Correct,Forced − Replayed,0.7358096642328962,0.47452454812920786,1.550625077530327,158.47704656128968,0.12298627867442065,-0.20139823709422666,1.673017565560019
Incentive|Error,Free − Observed,3.29554454805475,1.2248064481242718,2.6906655766727123,142.2734608637351,0.007985012890756286,0.874373690254008,5.716715405855492
Incentive|Error,Free − Forced,3.49448695889373,1.261302636178671,2.7705380601446037,153.30169853476943,0.0062888801864747716,1.0027087772867502,5.986265140500709
Incentive|Error,Free − Replayed,2.339766288754185,1.2368916844365747,1.8916501082469388,145.92623303748815,0.06051902229504505,-0.10476954364592261,4.784302121154292
Incentive|Error,Observed − Forced,0.19894241083897968,0.8470322249948931,0.2348699435138718,192.4058242509162,0.8145594455510579,-1.4717186284521557,1.869603450130115
Incentive|Error,Observed − Replayed,-0.9557782593005653,0.8102347123993647,-1.1796313397511684,195.39759044197206,0.23958109981055659,-2.5537061387639124,0.6421496201627819
Incentive|Error,Forced − Replayed,-1.154720670139545,0.8644152901478271,-1.3358401723112412,192.7163381579778,0.18317690176446086,-2.8596501613715173,0.5502088210924272
Incentive×Difficulty|Correct,Free − Observed,-1.3492208512078405,0.636759370483126,-2.1188865272357926,180.42068740731006,0.03546844175080305,-2.6056742398611714,-0.09276746255450985
Incentive×Difficulty|Correct,Free − Forced,-1.6940659644495544,0.6141674229500284,-2.758312963446438,182.2198437781034,0.006402472039177671,-2.9058601420982058,-0.48227178680090277
Incentive×Difficulty|Correct,Free − Replayed,-1.5349815481202564,0.544650061883081,-2.8182894954848425,191.87192039575996,0.005333999247282682,-2.6092519673590537,-0.46071112888145915
Incentive×Difficulty|Correct,Observed − Forced,-0.3448451132417137,0.7048221741971137,-0.48926541454876643,195.57371073856723,0.6252020753557131,-1.7348727988683414,1.0451825723849142
Incentive×Difficulty|Correct,Observed − Replayed,-0.1857606969124158,0.6451483269265381,-0.28793486576547855,184.3612861957353,0.7737200250468385,-1.4585834748027091,1.0870620809778773
Incentive×Difficulty|Correct,Forced − Replayed,0.15908441632929787,0.6228607318262434,0.25540928846623284,185.9809788940897,0.7986892380440069,-1.069696129366112,1.3878649620247079
Incentive×Difficulty|Error,Free − Observed,0.21982519960287883,2.1787341578916983,0.10089583385225745,162.294534402915,0.9197576872518967,-4.08249677749064,4.522147176696398
Incentive×Difficulty|Error,Free − Forced,-0.4432534772908765,2.2680337466318767,-0.1954351331628668,173.07057869097505,0.8452815700631907,-4.919820618809734,4.033313664227981
Incentive×Difficulty|Error,Free − Replayed,-0.8405247543584111,2.1681565048209728,-0.3876679347129576,159.97660973570305,0.6987770987645212,-5.122425188730155,3.441375680013332
Incentive×Difficulty|Error,Observed − Forced,-0.6630786768937553,1.8228899791151096,-0.36375134236880025,192.75681553845484,0.7164423535507844,-4.258450943307418,2.932293589519907
Incentive×Difficulty|Error,Observed − Replayed,-1.06034995396129,1.6970130905490246,-0.6248331022704375,194.99993406012447,0.532811043952434,-4.407206053264621,2.2865061453420408
Incentive×Difficulty|Error,Forced − Replayed,-0.3972712770675346,1.8102342319688174,-0.21945849329976538,189.7910563904948,0.8265287554136617,-3.968034512472964,3.1734919583378947
