Effect,Contrast,estimate,se,t,df,p,lcl,ucl,test
(Intercept)|Correct,Free − Observed,5.238978767006458,1.7127726880809235,3.058770614141724,178.52639919303252,0.002564828429978502,1.8590940897239623,8.618863444288953,welch
(Intercept)|Correct,Free − Forced,3.768872777276769,1.6790038014746258,2.244707709396885,172.53234800765443,0.02605748185075555,0.4548399276750956,7.082905626878443,welch
(Intercept)|Correct,Free − Replayed,5.540844163000557,1.6703518792022072,3.317171807922875,171.0812859390304,0.001110705438688054,2.2436910377869217,8.837997288214192,welch
(Intercept)|Correct,Observed − Forced,-1.4701059897296886,1.4198808153594489,-1.0353728100464017,195.57510807853046,0.30177334501838154,-4.270349268248138,1.3301372887887606,welch
(Intercept)|Correct,Observed − Replayed,0.3018653959940991,1.40963937402937,0.21414370338651573,195.24890528924,0.8306584673470945,-2.478208958156803,3.0819397501450014,welch
(Intercept)|Correct,Forced − Replayed,1.7719713857237878,1.3684102634605624,1.2949123760900936,193.95355059021452,0.19688980221031283,-0.9269038050453293,4.470846576492905,welch
(Intercept)|Error,Free − Observed,23.487109561594465,2.0836253713485977,11.272232467774549,186.77421805533916,8.135905042017221e-23,19.376644766494415,27.597574356694516,welch
(Intercept)|Error,Free − Forced,23.911044379280355,2.0286970553872994,11.786404636307557,180.62016697767606,3.7646388870754516e-24,19.908049841458613,27.914038917102097,welch
(Intercept)|Error,Free − Replayed,14.679974392847953,1.9822151540151078,7.405843085758221,175.17903251109576,5.27321679275247e-12,10.767877700404132,18.592071085291774,welch
(Intercept)|Error,Observed − Forced,0.4239348176858897,1.8306765778333787,0.23157275447726555,195.3608342486831,0.8171122422401129,-3.1864913056596484,4.034360941031428,welch
(Intercept)|Error,Observed − Replayed,-8.807135168746512,1.7790283603410513,-4.950531068014074,193.2140650488839,1.6078527818322766e-06,-12.315944628491168,-5.2983257090018565,welch
(Intercept)|Error,Forced − Replayed,-9.231069986432402,1.714368385530743,-5.38453115698036,193.2225093003202,2.0936304131412525e-07,-12.612348489877665,-5.849791482987139,welch
z(log(RT)),Free − Observed,-1.4106953790952175,0.45511064928444606,-3.09967560924624,188.97001686399813,0.002233447993124607,-2.3084453241804956,-0.5129454340099394,welch
z(log(RT)),Free − Forced,2.6479151902498144,0.545138807784041,4.857322855097113,185.08451956746367,2.525253895691909e-06,1.5724304533887385,3.72339992711089,welch
z(log(RT)),Free − Replayed,-2.0082727349222846,0.4240782511042457,-4.735618319715757,173.52907819665037,4.51965475000988e-06,-2.8452882560022403,-1.171257213842329,welch
z(log(RT)),Observed − Forced,4.058610569345031,0.5173602214296233,7.84484465800223,174.97330531834362,4.1173667833549674e-13,3.037540904376776,5.079680234313287,welch
z(log(RT)),Observed − Replayed,-0.5975773558270672,0.38772108792937615,-1.5412557491222056,190.4127605277796,0.12491476996578123,-1.3623575025120918,0.16720279085795753,welch
z(log(RT)),Forced − Replayed,-4.656187925172099,0.49028385521576634,-9.496922804286475,156.671047056464,3.540954870608594e-17,-5.6246070754258986,-3.6877687749182995,welch
Difficulty|Correct,Free − Observed,-6.651808517296004,1.4619119988566767,-4.550074506877438,192.74725227774798,9.474734333934055e-06,-9.535207715451904,-3.7684093191401047,welch
Difficulty|Correct,Free − Forced,-5.416232313812941,1.2911710784933337,-4.194821587959619,187.05297141814663,4.2132967287495336e-05,-7.96336087178533,-2.8691037558405523,welch
Difficulty|Correct,Free − Replayed,-6.236796895662966,1.380898633590047,-4.516476983867093,191.9395390346174,1.0963312073367324e-05,-8.960481956980242,-3.5131118343456906,welch
Difficulty|Correct,Observed − Forced,1.2355762034830633,1.3723883584478156,0.9003109038905809,185.37699016041273,0.36912290816637006,-1.4719312916486729,3.9430836986147995,welch
Difficulty|Correct,Observed − Replayed,0.4150116216330382,1.4571232235869107,0.2848157348089131,194.12527124948986,0.7760889305469402,-2.458813563081863,3.2888368063479394,welch
Difficulty|Correct,Forced − Replayed,-0.8205645818500251,1.2857465342176992,-0.6382008895316915,190.0034317596594,0.5241113609292287,-3.3567355618986365,1.7156063981985863,welch
Difficulty|Error,Free − Observed,13.840701624972606,2.0076142345275274,6.8941041495603255,190.15878670607924,7.771192123258224e-11,9.8806471636328,17.800756086312415,welch
Difficulty|Error,Free − Forced,14.91911375487846,1.9685999056831878,7.5785403178209,189.32842264043117,1.5125560630427364e-12,11.035906673763073,18.802320835993847,welch
Difficulty|Error,Free − Replayed,6.753289639786523,1.966264687292902,3.434578103055018,188.20357057177245,0.0007300295035601553,2.8745398268829296,10.632039452690115,welch
Difficulty|Error,Observed − Forced,1.0784121299058533,2.128664239352697,0.50661448149934,195.88685962765797,0.6129951031919809,-3.119629426423315,5.276453686235022,welch
Difficulty|Error,Observed − Replayed,-7.087411985186083,2.126504802660505,-3.3328925362966055,194.91440939458127,0.001028451740080416,-11.281324871658878,-2.8934990987132876,welch
Difficulty|Error,Forced − Replayed,-8.165824115091937,2.0897113077448037,-3.9076326403690733,192.99817246988698,0.0001288969712734762,-12.287428166868594,-4.0442200633152785,welch
Incentive|Correct,Free − Observed,2.297324981671972,0.5763518122602648,3.985976850949091,128.44723916147902,0.00011205160298252763,1.15695234173089,3.4376976216130535,welch
Incentive|Correct,Free − Forced,1.7407973903255716,0.66871854625613,2.6031839554496488,179.08929464172004,0.010010565167950795,0.42121592732596724,3.060378853325176,welch
Incentive|Correct,Free − Replayed,2.476607054558457,0.5835895465597227,4.243748143122384,133.45677892011437,4.085869120639028e-05,1.3223258076809856,3.6308883014359283,welch
Incentive|Correct,Observed − Forced,-0.5565275913464005,0.46559445810612715,-1.195305445881287,151.65553332266518,0.233833501825629,-1.4764165011354367,0.36336131844263564,welch
Incentive|Correct,Observed − Replayed,0.179282072886485,0.3319193639515612,0.5401374320319818,194.54731435811942,0.5897200246418527,-0.4753401527878143,0.8339042985607843,welch
Incentive|Correct,Forced − Replayed,0.7358096642328855,0.47452454812920836,1.5506250775303025,158.4770465612897,0.1229862786744265,-0.20139823709423832,1.6730175655600092,welch
Incentive|Error,Free − Observed,3.295544548054752,1.2248064481242713,2.6906655766727146,142.27346086373498,0.007985012890756234,0.8743736902540098,5.716715405855494,welch
Incentive|Error,Free − Forced,3.4944869588937304,1.261302636178671,2.770538060144604,153.30169853476937,0.0062888801864747655,1.0027087772867507,5.98626514050071,welch
Incentive|Error,Free − Replayed,2.3397662887541903,1.236891684436575,1.8916501082469428,145.92623303748826,0.060519022295044515,-0.10476954364591817,4.784302121154299,welch
Incentive|Error,Observed − Forced,0.1989424108389788,0.8470322249948926,0.23486994351387086,192.40582425091614,0.8145594455510585,-1.4717186284521562,1.8696034501301138,welch
Incentive|Error,Observed − Replayed,-0.9557782593005614,0.8102347123993648,-1.1796313397511635,195.397590441972,0.2395810998105584,-2.5537061387639084,0.6421496201627858,welch
Incentive|Error,Forced − Replayed,-1.15472067013954,0.8644152901478275,-1.335840172311235,192.7163381579778,0.1831769017644629,-2.859650161371513,0.5502088210924325,welch
Incentive×Difficulty|Correct,Free − Observed,-1.3492208512078383,0.636759370483126,-2.1188865272357895,180.42068740731006,0.03546844175080337,-2.6056742398611688,-0.09276746255450763,welch
