Effect,Contrast,estimate,se,t,df,p,lcl,ucl,test
(Intercept)|Correct,Free − Observed,-0.4031211381891566,0.05060947325107631,-7.965329656549694,186.94519629824887,1.566337023472048e-13,-0.5029602072821013,-0.3032820690962119,welch
(Intercept)|Correct,Free − Forced,-0.25128809741411295,0.04630995795770404,-5.42622167015613,191.4849249798622,1.7261583427872789e-07,-0.342631254362973,-0.15994494046525293,welch
(Intercept)|Correct,Free − Replayed,-0.3234012881965196,0.04765812601527298,-6.785858262510769,189.9389060852821,1.4285397833900905e-10,-0.4174084786731711,-0.22939409771986807,welch
(Intercept)|Correct,Observed − Forced,0.15183304077504367,0.05191224444288172,2.9248020848357528,191.994851452604,0.003861796900198037,0.04944149456491512,0.25422458698517225,welch
(Intercept)|Correct,Observed − Replayed,0.07971984999263704,0.05311841387260003,1.5007950008416717,194.33405407582418,0.1350315578603818,-0.025042742747524452,0.1844824427327985,welch
(Intercept)|Correct,Forced − Replayed,-0.07211319078240663,0.049039364959527515,-1.4705164074192658,193.46313180930764,0.1430464704587829,-0.1688336227846316,0.024607241219818346,welch
(Intercept)|Error,Free − Observed,-0.13733362545055705,0.06096880758555547,-2.2525227389077833,193.60605599202086,0.025411516947185964,-0.2575819609101644,-0.017085289990949687,welch
(Intercept)|Error,Free − Forced,-0.15295412540379694,0.05219512979601738,-2.9304290649636,164.56732571953216,0.00386627497575871,-0.2560125730725541,-0.04989567773503978,welch
(Intercept)|Error,Free − Replayed,-0.07817708045838145,0.058475025002575565,-1.3369311164029105,189.08563087310552,0.18285136572871977,-0.19352429042698252,0.03717012951021961,welch
(Intercept)|Error,Observed − Forced,-0.015620499953239886,0.0513160164728927,-0.30439813974047064,172.75109973177314,0.7611909594329418,-0.11690761031094178,0.08566661040446201,welch
(Intercept)|Error,Observed − Replayed,0.0591565449921756,0.05769168502717641,1.0253911801034956,194.77532877763556,0.3064504223229694,-0.05462404947081978,0.17293713945517097,welch
(Intercept)|Error,Forced − Replayed,0.07477704494541548,0.048326665489081135,1.547324736533095,178.2177317884708,0.12355887515125223,-0.020589075676350793,0.17014316556718176,welch
Difficulty|Correct,Free − Observed,-0.14493962579350086,0.026959281945492672,-5.37624207078458,183.684397494858,2.2901038279104184e-07,-0.19812929112922398,-0.09174996045777775,welch
Difficulty|Correct,Free − Forced,-0.014049037956170907,0.027954904431784208,-0.5025607578252856,188.2239050655451,0.6158606026252628,-0.06919421003371673,0.04109613412137491,welch
Difficulty|Correct,Free − Replayed,-0.21950235891812525,0.024007105745536605,-9.143224562125114,148.11919519549983,4.3547696119949864e-16,-0.26694302590232877,-0.17206169193392173,welch
Difficulty|Correct,Observed − Forced,0.13089058783732996,0.024985223357451194,5.238719941172558,194.14340055874712,4.1905806099082764e-07,0.08161327147169868,0.18016790420296125,welch
Difficulty|Correct,Observed − Replayed,-0.07456273312462437,0.020472562875930137,-3.6420810416603366,174.74039972710463,0.00035618321349879453,-0.11496805629603901,-0.03415740995320974,welch
Difficulty|Correct,Forced − Replayed,-0.20545332096195434,0.02176693890933069,-9.438778774441454,163.37488400219354,3.7661076556831734e-17,-0.24843411684839783,-0.16247252507551085,welch
Difficulty|Error,Free − Observed,0.2367093930922456,0.048573434630435876,4.87322741109859,138.22889018925866,2.9675895568416187e-06,0.14066637545697425,0.33275241072751693,welch
Difficulty|Error,Free − Forced,0.12293182630480276,0.04656578808137429,2.639960180422113,120.87214097912184,0.009385129098126587,0.030741581552408387,0.21512207105719713,welch
Difficulty|Error,Free − Replayed,0.1365710600305254,0.05083237865142885,2.6866942616836704,155.30905436829616,0.008002060289031802,0.036159005497555144,0.2369831145634957,welch
Difficulty|Error,Observed − Forced,-0.11377756678744283,0.026808190466672124,-4.244134527800033,183.98183115912857,3.4754850240953746e-05,-0.16666856720430628,-0.06088656637057937,welch
Difficulty|Error,Observed − Replayed,-0.10013833306172018,0.03367843784708771,-2.973366327630291,186.5076197494144,0.0033345593527526526,-0.16657797495723503,-0.033698691166205316,welch
