Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Forced,71.89666703520774,0.9750705139004318,73.73483867090805,97.0,5.406141809206131e-87,69.96142197827098,73.8319120921445
(Intercept)|Correct,Free,75.66553981248451,1.3668545124804585,55.357420355713444,95.0,4.253937205333909e-74,72.95199051993666,78.37908910503236
(Intercept)|Correct,Observed,70.42656104547805,1.0321332388542483,68.23398219754772,99.0,4.7103563097110517e-85,68.37858477664766,72.47453731430845
(Intercept)|Correct,Replayed,70.12469564948395,0.960095902535863,73.03926145738816,97.0,1.334078254718912e-86,68.219171050924,72.0302202480439
(Intercept)|Error,Forced,42.29734946047468,1.2500987535065475,33.83520649215106,97.0,1.6645197070740632e-55,39.81624947958305,44.778449441366305
(Intercept)|Error,Free,66.20839383975503,1.5977687094878517,41.438033832179286,95.0,1.2632190622831162e-62,63.03642190587459,69.38036577363548
(Intercept)|Error,Observed,42.72128427816057,1.337396664834,31.9436150855537,99.0,6.053290521991809e-54,40.067599144801804,45.37496941151933
(Intercept)|Error,Replayed,51.52841944690708,1.1731632741390527,43.92263258046682,97.0,7.984147870313715e-66,49.20001509574322,53.85682379807094
z(log(RT)),Forced,-6.885595152496652,0.42291383009887745,-16.281319414138803,97.0,1.6978027692512894e-29,-7.724962036779873,-6.046228268213431
z(log(RT)),Free,-4.237679962246838,0.3439770516521463,-12.319658947865733,95.0,2.1007616709734336e-21,-4.9205607492221235,-3.554799175271552
z(log(RT)),Observed,-2.8269845831516203,0.2980025017156848,-9.48644580792399,99.0,1.4436188567975608e-15,-3.4182861986710424,-2.235682967632198
z(log(RT)),Replayed,-2.229407227324553,0.24803659205111714,-8.98821907239034,97.0,2.049953055443717e-14,-2.721691202548297,-1.737123252100809
Difficulty|Correct,Forced,17.417259677506607,0.8406503042108545,20.71879304660069,97.0,2.1407416052081684e-37,15.748801527409615,19.0857178276036
Difficulty|Correct,Free,12.001027363693666,0.9800152141512073,12.24575617847706,95.0,2.9900376610502365e-21,10.055451176349326,13.946603551038006
Difficulty|Correct,Observed,18.65283588098967,1.0847842515603219,17.194972967352705,99.0,1.717208636784595e-31,16.500388580229696,20.805283181749644
Difficulty|Correct,Replayed,18.237824259356632,0.9728572435270362,18.74666029440916,97.0,5.129271990254714e-34,16.30697193144687,20.168676587266393
Difficulty|Error,Forced,-18.615153718019045,1.4792028457715494,-12.584584846650573,97.0,4.1598595932499273e-22,-21.550961902839706,-15.679345533198383
Difficulty|Error,Free,-3.696039963140585,1.298978263758561,-2.84534396476057,95.0,0.005434293355501658,-6.274837864799098,-1.1172420614820724
Difficulty|Error,Observed,-17.53674158811319,1.5307417760551076,-11.456368319225815,99.0,7.535334773847707e-20,-20.574065368663234,-14.499417807563148
Difficulty|Error,Replayed,-10.449329602927108,1.4760935914696764,-7.079042726906772,96.0,2.3872695753339814e-10,-13.379352224333253,-7.519306981520962
Incentive|Correct,Forced,1.7952405147461588,0.4072967481028781,4.407696656327595,97.0,2.69922422094495e-05,0.9868692151982793,2.6036118142940383
Incentive|Correct,Free,3.5360379050717303,0.5303714293697698,6.667097262900334,95.0,1.7102944931016616e-09,2.48311749268475,4.588958317458711
Incentive|Correct,Observed,1.2387129233997582,0.2255827085659689,5.491169652471442,99.0,3.090666696210599e-07,0.7911078890783841,1.6863179577211325
Incentive|Correct,Replayed,1.0594308505132732,0.243480811897057,4.3511882610330606,97.0,3.3510862093916676e-05,0.5761888377916746,1.5426728632348718
Incentive|Error,Forced,0.5829350673196773,0.6356874604883557,0.9170152056670233,97.0,0.36140904394746065,-0.6787285745699109,1.8445987092092655
Incentive|Error,Free,4.077422026213408,1.089396985772005,3.7428247732151823,95.0,0.0003115652868361179,1.9146955669936703,6.240148485433146
Incentive|Error,Observed,0.781877478158656,0.5597901774394256,1.396733114780783,99.0,0.16561716653995223,-0.3288676812482204,1.8926226375655326
Incentive|Error,Replayed,1.7376557374592174,0.5857604001801573,2.9664957496696287,97.0,0.0037926163355286877,0.5750834897728292,2.9002279851456056
Incentive×Difficulty|Correct,Forced,-0.17148506191504387,0.48400073592658843,-0.35430744043549167,97.0,0.7238775559905859,-1.1320925445563756,0.7891224207262879
Incentive×Difficulty|Correct,Free,-1.8655510263645974,0.3780805615680339,-4.934268555430348,95.0,3.4231606184077585e-06,-2.6161358406234587,-1.114966212105736
Incentive×Difficulty|Correct,Observed,-0.5163301751567592,0.5123646990791493,-1.0077395575548764,99.0,0.31603623913967194,-1.5329728964640807,0.5003125461505623
Incentive×Difficulty|Correct,Replayed,-0.330569478244342,0.392044358298451,-0.8431940703829487,97.0,0.4011943785736253,-1.1086690061052518,0.4475300496165676
Incentive×Difficulty|Error,Forced,0.6434672402961981,1.363822279671231,0.4718116501596638,97.0,0.6381208378064617,-2.0633424597697427,3.3502769403621393
Incentive×Difficulty|Error,Free,0.20021376300532134,1.8121715882701057,0.1104827844676921,92.0,0.9122671612279354,-3.3989154324255324,3.799342958436175
Incentive×Difficulty|Error,Observed,-0.019611436597557787,1.2095109199303038,-0.016214352656433943,99.0,0.9870960173678566,-2.419543507052149,2.3803206338570333
Incentive×Difficulty|Error,Replayed,1.0407385173637334,1.1903515296180796,0.8743119082626383,96.0,0.3841304355532617,-1.3220905941249135,3.40356762885238
