Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Forced,72.60665565567608,1.0167831707781432,71.40819964605657,97.0,1.1465373696610666e-85,70.58862252148388,74.62468878986827
(Intercept)|Correct,Free,76.01016378705928,1.3703196967339974,55.46892741031231,95.0,3.533736119050049e-74,73.28973523399476,78.7305923401238
(Intercept)|Correct,Observed,70.52202865161777,1.0379626350196987,67.94274309332859,99.0,7.131044038692541e-85,68.46248559609839,72.58157170713716
(Intercept)|Correct,Replayed,70.23891618270203,0.9644258610627555,72.82977263312058,97.0,1.754025523378654e-86,68.32479781505927,72.15303455034478
(Intercept)|Error,Forced,38.99041064453335,1.3786247270165646,28.282105986094702,97.0,1.2095706227371293e-48,36.254222184011375,41.72659910505532
(Intercept)|Error,Free,63.76315161318987,1.634311548564604,39.015297706971644,95.0,2.821499057152814e-60,60.51863297136136,67.00767025501837
(Intercept)|Error,Observed,42.30316533778345,1.3517270037061389,31.295642701371985,99.0,3.8414566337788853e-53,39.621045703112614,44.98528497245428
(Intercept)|Error,Replayed,50.87442253709211,1.2232189484563596,41.59061025116808,97.0,1.2181370217555977e-63,48.446671528519126,53.30217354566509
Difficulty|Correct,Forced,21.940247057124704,0.9746356482190758,22.511229809021962,97.0,2.699587063143362e-40,20.005865088188536,23.874629026060873
Difficulty|Correct,Free,14.562000948577372,1.0741646430768081,13.556581891269825,95.0,6.194535630450492e-24,12.429514512979015,16.69448738417573
Difficulty|Correct,Observed,19.73512709815915,1.1236966422311627,17.56268227248054,99.0,3.52760678141556e-32,17.50546917220334,21.96478502411496
Difficulty|Correct,Replayed,18.955149141389217,0.9955862477943428,19.039183379022287,97.0,1.5695513382969452e-34,16.97918603171512,20.931112251063315
Difficulty|Error,Forced,-19.824993403856183,1.4923277888995417,-13.284610493298759,97.0,1.471098309000235e-23,-22.786850967618086,-16.86313584009428
Difficulty|Error,Free,-4.920566953835586,1.3826339261292435,-3.558835683723581,95.0,0.0005836087609992362,-7.665442343164413,-2.1756915645067587
Difficulty|Error,Observed,-17.025211388539894,1.493022084963782,-11.403187909945013,99.0,9.81181728164338e-20,-19.987691118617928,-14.062731658461862
Difficulty|Error,Replayed,-10.822858976069085,1.5228838633392552,-7.1068183442023,96.0,2.092696985160161e-10,-13.845759553068216,-7.799958399069954
Incentive|Correct,Forced,1.6929402856149223,0.4180260015338186,4.049844458007865,97.0,0.00010323625672570161,0.8632743880140351,2.5226061832158093
Incentive|Correct,Free,3.5241197093907215,0.5289662885440173,6.662276567928141,95.0,1.7489611132817776e-09,2.473988854238133,4.57425056454331
Incentive|Correct,Observed,1.1829119683309528,0.2253072983505673,5.250215936149564,99.0,8.693131445164737e-07,0.7358534076276187,1.6299705290342867
Incentive|Correct,Replayed,1.061052383929743,0.24706861067430333,4.2945657120663885,97.0,4.155310780466847e-05,0.5706895837881909,1.551415184071295
Incentive|Error,Forced,0.6983086743821384,0.6105795755370745,1.1436816794402207,97.0,0.2555703030127826,-0.5135227660928702,1.910140114857147
Incentive|Error,Free,3.7415095065871586,0.9882999052614974,3.7858037693499336,95.0,0.0002682979440012998,1.7794861279023828,5.703532885271935
Incentive|Error,Observed,0.8214911095147045,0.5418894844058137,1.5159753661126605,99.0,0.1327121580708157,-0.2537351913297349,1.8967174103591438
Incentive|Error,Replayed,1.8232534127025297,0.5550585399462326,3.2847948125960635,97.0,0.0014207059341124649,0.7216158588761725,2.9248909665288867
Incentive×Difficulty|Correct,Forced,-0.0884668609244107,0.45982215045408203,-0.19239364792898342,97.0,0.8478360883786661,-1.001086544373438,0.8241528225246166
Incentive×Difficulty|Correct,Free,-1.9942082719149845,0.40447742178448326,-4.930332731841714,95.0,3.4784967108887247e-06,-2.7971974794079464,-1.1912190644220226
Incentive×Difficulty|Correct,Observed,-0.44502213659625556,0.5134894405477246,-0.8666626836991294,99.0,0.38822250368738787,-1.4638965889916764,0.5738523157991654
Incentive×Difficulty|Correct,Replayed,-0.21491592529614953,0.3986758791249849,-0.5390743121150134,97.0,0.5910707335732897,-1.0061771863000157,0.5763453357077167
Incentive×Difficulty|Error,Forced,0.9253064414877622,1.3971292656977057,0.6622912168586476,97.0,0.5093551060986461,-1.8476084060011666,3.6982212889766912
Incentive×Difficulty|Error,Free,-0.5994072260414969,1.5286876788088908,-0.3921057481856187,92.0,0.6958869480331826,-3.635512907815619,2.4366984557326252
Incentive×Difficulty|Error,Observed,-0.06406572427264966,1.2016366558923743,-0.0533153877742456,99.0,0.9575880575689302,-2.448373546541913,2.320242097996614
Incentive×Difficulty|Error,Replayed,1.196737991559304,1.0777353439521078,1.1104191750553598,96.0,0.26959202125015397,-0.9425497581588893,3.3360257412774974
