Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Forced,6.533511758594988,0.03375036700830382,193.58342849982952,97.0,2.4308073703518574e-127,6.466526622657126,6.600496894532849
(Intercept)|Correct,Free,6.282223661180875,0.03171001313227608,198.11482369859078,95.0,3.9567447467487094e-126,6.219271325788851,6.345175996572898
(Intercept)|Correct,Observed,6.6853447993700295,0.03944355270386152,169.49144641110217,99.0,8.474457283864769e-124,6.607080233464235,6.763609365275824
(Intercept)|Correct,Replayed,6.605624949377394,0.03557769023473167,185.66761658205817,97.0,1.3799666672164528e-125,6.535013082663699,6.676236816091089
(Intercept)|Error,Forced,6.776511753804525,0.028639741816790302,236.61218027572212,97.0,8.875059352750562e-136,6.7196697941792864,6.833353713429763
(Intercept)|Error,Free,6.623557628400728,0.04363595722670351,151.79127603387073,95.0,3.559203734702636e-115,6.5369293005274915,6.710185956273964
(Intercept)|Error,Observed,6.760891253851283,0.04258049712384523,158.77905873638005,99.0,5.3090850855753745e-121,6.676402309651173,6.8453801980513935
(Intercept)|Error,Replayed,6.701734708859109,0.03892597829163887,172.1661215204092,97.0,2.04557810579144e-122,6.624477417205417,6.778992000512802
Difficulty|Correct,Forced,-0.2852441669172246,0.018424646333041868,-15.481663081135052,97.0,5.857873679080937e-28,-0.3218119896885203,-0.24867634414592887
Difficulty|Correct,Free,-0.2992932048733952,0.021024012207295616,-14.235779637225308,95.0,2.714345536563172e-25,-0.3410311462056407,-0.25755526354114977
Difficulty|Correct,Observed,-0.15435357907989455,0.01687583460822167,-9.146426393909765,99.0,7.953766077958949e-15,-0.18783889618169672,-0.12086826197809239
Difficulty|Correct,Replayed,-0.07979084595526995,0.011590169842796136,-6.884355193885612,97.0,5.768028201760546e-10,-0.10279412477210749,-0.0567875671384324
Difficulty|Error,Forced,0.06281374219228064,0.016243046880736457,3.867115735950685,97.0,0.00019932510230138403,0.030575790436570868,0.09505169394799041
Difficulty|Error,Free,0.18574556849708426,0.04364099045243619,4.256217986150571,95.0,4.878541050991778e-05,0.09910724840741149,0.27238388858675705
Difficulty|Error,Observed,-0.05096382459516224,0.021327036927983434,-2.3896345642039027,99.0,0.018758395501751388,-0.09328129279477648,-0.008646356395547998
Difficulty|Error,Replayed,0.04917450846655655,0.02606520039617142,1.8865962171455064,96.0,0.06223677517086069,-0.0025645053965326417,0.10091352232964573
Incentive|Correct,Forced,0.0053653746578481605,0.003583055788813785,1.4974298403610493,97.0,0.1375285315899659,-0.001745999242992186,0.012476748558688508
Incentive|Correct,Free,-0.00015174733453544084,0.004619019630142866,-0.03285271479366874,95.0,0.9738609663965557,-0.009321660690488159,0.009018166021417275
Incentive|Correct,Observed,0.00790507573223626,0.0045124412025676535,1.7518401630891371,99.0,0.08289791841869117,-0.0010485865949354748,0.016858738059407997
Incentive|Correct,Replayed,0.009544018853976264,0.005012725202950653,1.9039581200976956,97.0,0.05987948527262687,-0.0004048530814365521,0.01949289078938908
Incentive|Error,Forced,-0.0018031144569843655,0.006372562959131631,-0.28294964970107883,97.0,0.7778183804495138,-0.0144508879163068,0.01084465900233807
Incentive|Error,Free,0.011381745333184956,0.029930152724589203,0.38027688792360387,95.0,0.7045888021207519,-0.04803712039837856,0.07080061106474847
Incentive|Error,Observed,-0.00036382385003362605,0.009365781094724262,-0.03884607662232975,99.0,0.9690913368566763,-0.018947565463033098,0.018219917762965845
Incentive|Error,Replayed,-0.0044841101292599815,0.015924683219633654,-0.2815823754491701,97.0,0.778863591931688,-0.03609019814519472,0.027121977886674756
Incentive×Difficulty|Correct,Forced,-0.003575912127208899,0.008048663421297153,-0.4442864535429401,97.0,0.6578251350230392,-0.019550281035880003,0.012398456781462204
Incentive×Difficulty|Correct,Free,0.021306961393723043,0.011067377648031068,1.9252041514562068,95.0,0.05719498164638056,-0.0006645611882049492,0.04327848397565104
Incentive×Difficulty|Correct,Observed,-0.008854369128460776,0.010871409938027328,-0.8144637336771651,99.0,0.41733419664951776,-0.03042560501513964,0.012716866758218091
Incentive×Difficulty|Correct,Replayed,-0.0009049698520386526,0.012428444761594448,-0.07281440835100544,97.0,0.9421037397244845,-0.0255719923364692,0.023762052632391895
Incentive×Difficulty|Error,Forced,-0.008769554260111466,0.016152012068322293,-0.5429388130108274,97.0,0.5884173561161987,-0.04082682711288842,0.023287718592665485
Incentive×Difficulty|Error,Free,0.038841362052277915,0.0655768975448959,0.592302525835199,92.0,0.5551009676307921,-0.091400016869746,0.16908274097430184
Incentive×Difficulty|Error,Observed,0.0029313565195893403,0.02100829550638338,0.13953328668185605,99.0,0.8893122236691543,-0.038753659548113314,0.044616372587291994
Incentive×Difficulty|Error,Replayed,-0.006094305347195279,0.03258247561184287,-0.18704242795412887,96.0,0.8520220960040028,-0.07077000826726643,0.058581397572875865
