participant,group,intercept_corr,intercept_err,logRT_z,difficulty_corr,difficulty_err,incentive_corr,incentive_err,incdiff_corr,incdiff_err
Exp1b_1,Free,56.155719909387734,46.97742558133446,-12.080172956654323,16.094882754995716,13.752301118572023,-4.166566963471081,0.43208097194597883,7.988628634934974,-10.339200498748312
Exp1b_10,Free,73.91973059672901,69.75634149720842,-5.306596932914374,9.10449492403679,9.15762931953046,3.234059497801197,0.42140560636173063,12.335805059092573,-16.534549763657616
Exp1b_100,Free,77.81416177236157,74.37941583331249,-5.5781835912585365,5.74425625651643,,1.7676645334465357,-0.6223064485464107,0.034162504542146976,
Exp1b_101,Free,84.08842045568163,69.92582728112691,-4.652506255634364,15.880621411529265,-12.120570022119765,2.4989050976003293,6.28136230485363,-3.331087582957011,4.59748542774622
Exp1b_102,Free,87.62110791128289,94.75214489100154,-4.071264456774131,15.953909346708947,15.540588147471894,8.812567145779575,-1.7631147097066417,-13.016279870400476,-20.325788712776596
Exp1b_103,Free,88.95630925463763,88.69368447809303,-2.140077105747519,10.682926728494369,13.32079474050392,4.2921076694004245,3.1342294528561894,-5.331610408504474,-7.301058535997619
Exp1b_104,Free,82.9248777116415,76.59840457162089,-1.6467523053748927,4.37154512190695,-2.1703681563243364,0.7911133989527039,3.029942144807862,3.4696559166021737,1.2491708532841113
Exp1b_105,Free,70.6024531882583,46.823045033721506,-5.887868382103569,18.605137281170908,-13.670522681653175,-0.15008821360802038,10.626703548826335,0.4936228292925744,20.63103977997548
Exp1b_106,Free,74.33998268017265,76.90325006203796,-9.65452418154961,17.937716350821997,2.968744354193035,13.6425208351367,13.291401277981727,-16.396896787886888,15.278398486799684
Exp1b_107,Free,78.73869612340329,61.40053526526546,-4.1656776575844106,13.387242058037552,-1.4133302200103515,1.4283133197587718,7.530984575050212,4.169772016039533,-4.899139547365449
Exp1b_108,Free,53.539798306580856,43.9751803499371,-2.4953077791333236,18.418491489510885,-6.79605404800728,4.410346023422481,6.753748589949851,-3.5976514817109027,13.068381018989264
Exp1b_109,Free,80.45418385553218,77.34471596417524,-11.035827405733187,24.66906135966388,22.17871174596339,-2.867999073332255,-3.207411629996521,-5.5497310358174055,
Exp1b_11,Free,84.52058542989107,79.9847049270135,-8.70078121352197,21.137746420514002,7.166260642854098,2.716075860490806,-34.40005255620042,-10.123170840987846,-67.73047336448481
Exp1b_110,Free,83.13307794220395,71.80140100484965,-4.026635995484774,5.617240114934335,-13.960233534623313,2.4679795462528253,8.614077301955462,0.47607582077853117,23.457351630189372
Exp1b_111,Free,74.88433075270532,53.87752631810183,-5.121664476798337,24.957174554721483,-11.50713468241807,3.1807447500672454,10.909958820924366,0.03977228766615237,18.44518384926336
Exp1b_112,Free,90.6680181929544,63.0157504770092,-6.032609556632458,9.54031552254372,-57.407639282273664,3.4980507904025573,14.096336108060505,-3.440851579383338,68.53471516071788
Exp1b_113,Free,93.59187837776949,34.46019978457883,-6.498126806856263,8.429455037692517,-78.25214638053508,-2.9780811722231384,20.281767690677555,8.176638436633661,40.2552748349662
Exp1b_114,Free,65.71711002797323,60.563508195304046,-4.5990343658322175,4.014277517267264,2.5753129747025945,4.3624020038036875,3.7723612809906086,7.886587775758137,-9.083772218803368
Exp1b_115,Free,88.92851544101424,96.0714563746614,-4.126414451064917,16.260610767631306,27.606743538725734,-0.1441023772857135,-9.62380095910644,0.8612121470349079,-5.709093147168726
Exp1b_116,Free,73.00083816533707,60.18478548723872,-12.429547066231628,14.928531148332496,-1.7192751859577733,5.569519010769479,4.0910080058709966,1.9282596116023418,8.814498802233928
Exp1b_117,Free,66.5234974884262,55.380070646985025,-6.258266194692631,27.013530111241185,23.228640402646477,-0.37823863539148617,-15.57110540915918,-0.6261148167777384,-50.962399799037335
Exp1b_118,Free,97.1953959387111,92.9870212449724,-0.8010656134821801,2.2388131924025885,6.8538830216416,-0.9361475535914341,5.509336734246098,-0.9607179611048653,-4.70307294167025
Exp1b_119,Free,67.99546492458006,46.027596948299994,0.3933450078641414,31.81982807958877,-9.70293602993824,0.8643792844385803,7.411224303849586,-2.8363489052907163,10.456857778725638
Exp1b_12,Free,81.59616188594617,67.20405203959412,-5.710215667140304,17.77353344661994,1.9975562741033528,-1.3071299883723642,2.3789525183245743,-4.8369446982099875,-5.681403936885118
Exp1b_120,Free,87.54284698340075,96.34725680581491,-3.323690751263193,20.033954760032024,75.78547323602588,0.13257869918778464,10.534239118311746,2.204086219511661,
Exp1b_121,Free,69.90069773580808,60.401292670761926,-3.8531324167288545,10.085611754637922,-2.0039082045150387,15.41254017431056,11.022260061364179,-2.9626001065203775,-16.699864917814505
Exp1b_122,Free,92.16949272008512,90.20313564041692,-4.104816701653402,3.3908137471883055,4.093540220507791,3.231507711774172,1.845424516782188,0.35683589597057996,-7.285807321811072
Exp1b_123,Free,80.32816284522704,62.79432718725184,-9.407358121941648,9.57913148774213,-26.23047695432408,0.11411073479813538,9.496625515281366,6.864855606103763,28.065872853652827
Exp1b_124,Free,72.10075332407209,59.459072342816555,-1.1002106463130161,22.628659707223974,12.385335571824617,0.867137666338115,-1.2488446624986764,3.0486956543955603,
Exp1b_125,Free,68.52807247370176,61.02202907369516,-2.234159328152195,13.527160230333621,-1.1324480353772515,4.7282383232508005,-2.709154363058971,-6.312645212636031,-10.043629856590819
Exp1b_126,Free,26.95250340827113,25.200123079814524,-0.010325910122182425,-2.5959309128911103,-2.436111728289881,53.92633147430163,55.83352086419532,2.820509478711287,7.399625355669211
Exp1b_127,Free,86.64170554629276,72.69971398730587,-4.574508628806413,15.566151251811515,,3.352992527324947,3.18578175645667,-2.079420703387603,
Exp1b_128,Free,82.79722875085167,82.21877489974052,-2.0929170993057387,2.7804334051994704,1.641661366768366,6.135734364140054,6.237476527671035,-0.8537755258577711,-1.8454169365609507
Exp1b_129,Free,80.31581189167602,55.1005026278777,-18.722305088850632,14.248561110081223,19.8626321408094,-2.2022391724717156,-12.378875054302757,-3.475329420511433,-42.173127482647416
Exp1b_13,Free,65.65328373255562,64.76071718597657,-12.78786401763076,13.522136064807196,18.708664006249656,3.3931058489558286,-7.574557771957892,6.366819739642164,-22.85689990185266
Exp1b_130,Free,87.48347518327833,87.3101132685406,-5.1815410835993205,11.795847278042427,3.0980438392355794,1.6880184765891895,-13.460271106950955,-1.8372431110372864,-19.563002666541838
Exp1b_131,Free,84.56048634634769,71.44622640597012,-5.5847881392212315,8.746596205767307,,8.029204289792453,13.736379488469048,-5.512451332637321,
Exp1b_132,Free,62.611466737793506,59.29100631341461,-1.551338161199813,-4.99214235005823,-1.0631823133595972,11.0762816539179,14.405709733453087,11.746210829623443,-2.747955481384473
Exp1b_133,Free,93.87373096506317,83.78400167756402,-3.1548010925998398,1.8457819866785758,13.491666459684861,3.059360618741173,-0.9377260019675475,1.3174027044770478,-36.781066560090224
Exp1b_134,Free,62.32044289220937,44.97000801752442,-6.502525857706296,46.68657432055249,18.558521876222,1.6594950922025078,2.548443587092457,-4.215144444757315,-6.920864429523347
Exp1b_135,Free,63.552848217949624,59.33772599898836,-5.941625078819461,4.991409883262628,-3.3794925500225403,1.3204462054723685,-1.2256512092924652,5.517272764252788,1.1110048962557642
Exp1b_136,Free,94.45411267567208,88.7684216869754,-2.6519034078922914,5.55690770819804,8.063449218658377,4.295494566361386,11.482742398165534,-4.632089457908712,7.2670660801401095
Exp1b_137,Free,75.76033961810774,53.04726255866706,-9.383711284708347,23.93825981848945,-15.588587878906573,4.674193983495121,4.794562961109044,-5.863776321338602,-12.53945664560284
Exp1b_138,Free,74.38299402573656,72.9390964815863,-1.002977690752644,14.097132697363396,3.3960013347190987,0.3149048682634916,3.9861624359059675,-1.4634198584802143,4.245082518570456
Exp1b_139,Free,62.709727696546416,53.6447536844355,-4.659454181949627,26.823782464422933,1.8755759181845821,1.2206627529004466,-1.8074335841835705,-7.290311999038416,-8.037873179347148
Exp1b_14,Free,75.59033615431406,72.2584564650836,-0.18988267656632019,15.347969096575103,11.297622275159243,2.0421507094337583,-0.5861735582744032,5.239553867478955,0.0066627903425029444
Exp1b_140,Free,95.09870820726341,92.61215478613744,-5.887966337995451,6.1323403546816015,14.301628231736565,1.2928680877444982,11.303457361354432,-4.911262991822919,41.34657636465073
Exp1b_141,Free,84.59773376078545,75.05409562878432,-4.159250237963079,25.356010173785766,17.901992913170712,2.888863004722946,-9.955365684407127,-4.168636569604415,-36.22705387228717
Exp1b_142,Free,79.00483713864321,77.55012885165556,-14.058772161485962,12.103403013360213,2.8134825959272227,4.091280792914007,2.883195883117068,-9.562038983413036,3.0410296925433062
Exp1b_143,Observed,73.58370300412987,59.71929602706078,-1.0345121925957805,9.585797946073505,-16.574266721131966,-5.757057866106312,-1.8083539858395454,4.8266416612606955,-6.3456138261422605
Exp1b_144,Observed,79.59883522388333,22.629177532898556,-6.5084963204791535,14.201263043422651,-25.177978387818598,1.9624296898108318,5.47900203031066,10.676496521695917,-3.7549398776549325
Exp1b_145,Observed,83.85644526573412,44.88099162403464,-3.321347646676605,10.301305515701966,-26.054461174500418,6.918155213989514,10.637941951316463,3.073265250530175,-3.1100226840602248
Exp1b_146,Observed,61.73063097663195,47.45404704679187,-3.967856757276353,9.201774637687775,-14.745345020485974,3.1604398502921343,-3.7698477982453795,-0.07496080392278627,-7.656465178406856
Exp1b_147,Observed,67.60723267566046,36.986421003635336,-5.52778274361858,27.65642240044765,-34.32732509132672,2.4058553953743695,7.202978341702888,2.794472149883632,9.439659701446024
Exp1b_148,Observed,62.89645184364932,36.779099273327624,-2.8644103999948562,11.955453390358892,-14.993244572461682,0.13341302558513868,-2.788746246277931,4.818463843172275,-3.076301366220372
Exp1b_149,Observed,88.74086477534918,30.24329625730209,1.6382870983960096,16.13483156775974,-34.65971420229377,1.899701397305217,-0.016974802489826857,2.4717566435839684,-12.299899321079224
Exp1b_15,Free,92.08469883966197,92.48405310881834,-3.258754534933164,1.3311707061299156,0.3280554893622316,5.034182082511646,4.43279409824892,-0.25254383841519923,1.7707030523707115
Exp1b_150,Observed,85.05073350806919,22.208204712832547,-1.3567949105391488,26.773629502535407,-48.131315263009725,5.570649957453926,-6.877060401147645,-4.944642938792093,14.53830854668734
Exp1b_151,Observed,91.77760096906223,27.237834371620004,1.0945230218983721,17.167217458982535,-57.98829059385072,-4.041826617670037,-12.612117539648736,0.3164221193300194,34.89532787572025
Exp1b_152,Observed,81.759417334358,50.80023785793435,-5.1901123769458835,8.53603923025538,-25.30842376217078,1.2466249859949317,10.538308165327258,1.2363382995962473,24.989672679394012
Exp1b_153,Observed,54.53465440767112,62.728210472085756,-1.0786015331842105,-8.616766244353622,-6.951077269973387,5.121593031502247,-1.4705892342529836,12.288307125221902,21.27017331261315
Exp1b_154,Observed,68.17462835870643,22.10490074701568,-4.4867522805916344,24.206142473737383,-20.155567133475273,-3.430849996472545,15.630747847313621,11.34228634240408,-22.012059183708292
Exp1b_155,Observed,67.35255004641606,54.0440193286393,-1.401205737010574,3.840202972589199,-3.8357705463499543,1.5874296377272343,0.31377692475301444,3.5555003244049987,-7.693037885289178
Exp1b_156,Observed,68.90742698939276,36.48529113818584,-3.9454956871425626,21.416790687212746,-8.517857620273396,-3.6356478820359546,4.610220438458121,-3.2851977081610944,-32.15613399879183
Exp1b_157,Observed,59.777276419428176,35.19065604542193,-1.7538730706619283,26.778186059758127,-16.793557944651422,-3.6983996471372214,0.07777313824193754,-8.210480442331004,-29.914305985494263
Exp1b_158,Observed,77.13418989173869,35.840058808372675,-4.4396756890723985,32.53799787287183,-37.19618517693445,7.432704351820236,3.953414500439834,-15.066597637490641,0.15289857872645696
Exp1b_159,Observed,70.90022611097967,77.59156252497009,-1.1650802382677874,8.948201009954492,5.692711339184079,8.954339262676504,-8.927184444760215,-5.334399478908662,-20.3707482842741
Exp1b_16,Free,69.59724398278802,56.1320897852854,0.554283125859085,25.775179846327454,-2.8212540255125766,7.201904862275756,-2.5979910981965304,1.560495825963362,-0.37175101246283404
Exp1b_160,Observed,68.60884134528861,47.27678436632637,-4.997640574954801,11.859839120343903,-7.097640593132471,0.5205189420793412,2.8274930863655783,-4.522164750002234,-11.539150039635786
Exp1b_161,Observed,57.60571959310926,42.745026688496395,-0.3592534801347087,14.749171269979117,-26.382192426394273,3.689714526957575,5.114492939962581,-3.8387017958968164,14.260098131291834
Exp1b_162,Observed,75.67428225773699,25.27709573805737,-3.383660083807804,31.793499103738757,-45.530276673348105,2.4627981323462134,1.2161398178882195,4.463476502520191,2.938032025748674
Exp1b_163,Observed,67.1786750397414,36.80639372708497,-2.8215936535792543,19.496993914786202,-16.027602178661756,3.886603566164476,-0.2012334902793782,-5.324783848575966,-20.783792640951166
Exp1b_164,Observed,70.18125015822247,55.77498269006431,2.649275340088052,24.99504533737496,-2.0453651703360265,8.511891718357726,7.311995296401221,-18.569717313466253,-1.6872581365579813
Exp1b_165,Observed,87.86385189843475,50.38339577874344,-3.7174153879176686,16.81762679178052,-15.309135323247645,-0.19442839431039172,6.644807744227734,2.788000160881446,-11.739538197083906
Exp1b_166,Observed,63.539240369904824,34.954420097726896,-2.338293732701789,17.428605886236113,-13.21814177251596,1.4830507579652044,-0.34018239559958374,-1.4945482608359804,-7.2602581082963455
Exp1b_167,Observed,61.90652928815922,39.95882013798892,0.6037587713904475,23.418253128888356,-5.443875867268562,10.133551865181154,1.5230280916096888,0.5288417975798014,-35.04114999465727
Exp1b_168,Observed,76.29430390754241,34.46475754192297,4.697273515838764,17.59040699193276,-51.13066583436444,-3.871092539199399,6.26630733848792,4.404154085549936,4.003200034490385
Exp1b_169,Observed,67.55815532609753,60.23162171724125,-10.43204240110669,19.9104142195255,-10.141099801158637,5.046566623501745,2.8078452629913073,-6.0123942354511275,5.312835274886293
Exp1b_17,Free,66.23042564074544,59.896883988136615,-4.250207242500327,11.965206159787524,6.2139313159312195,5.858353343251275,8.527824640382136,3.9623671336109316,-3.424604765662634
Exp1b_170,Observed,71.29038680379352,35.73692698609713,-4.331461534714144,23.085673367890664,-35.51020506805385,-6.730802212538855,-4.293939434449491,6.47125737218247,12.660576178568704
Exp1b_171,Observed,66.45232830906986,45.382478295494195,-4.518870285357474,24.047588153566082,-8.852127424733007,2.5082941776117034,3.1071916082476747,-3.3452093596082517,-4.199109430018103
Exp1b_172,Observed,76.68031888803853,25.78805115964075,-2.4414342519165544,34.587308609952366,-41.37640350066595,-1.125593448658426,-3.0884819505687773,0.8453076762262239,12.20030069798696
Exp1b_173,Observed,65.525530264379,39.91357667784557,-0.1480352114229504,18.30605862435961,-30.535131298107405,4.4959177808629125,9.735493244489213,1.6671917166162045,-4.053550557572564
Exp1b_174,Observed,54.75827046514734,50.88372112833531,-2.6931575564762396,-0.8049500820994258,-8.253012402678678,1.9812425818868946,1.9579998861083752,4.657062164521898,-2.0907484155333753
Exp1b_175,Observed,74.34422183881922,39.76650561852644,-1.43498627143825,25.05376561330136,-1.1339872568645926,-0.9129734180042823,1.2443894504149569,5.0540867873476,-16.12677214399291
Exp1b_176,Observed,59.42435912570089,42.94391392403695,0.09755926751217103,4.467078687177283,-11.06480249414836,2.3842481629691923,-0.05326291982775899,7.99698460043431,-26.54790486749368
Exp1b_177,Observed,76.36076938146861,53.43088294386822,-2.4952342931788074,16.00117741464591,-31.632561107524463,10.70489594381985,10.727470786261094,-10.522241287760052,-8.128962110250413
Exp1b_178,Observed,56.63072435371722,50.88284242342103,-2.460835367657835,6.7231527539523706,0.574325816563332,0.42886555656460734,-2.6662878504029237,2.5089824535056566,-48.45570878568336
Exp1b_179,Observed,68.16709046606171,46.52576418219891,-1.157422528493333,15.232147634793634,-25.44559534533463,4.391269389439749,-0.6019560175684688,3.320879751517316,2.016431666566408
Exp1b_18,Free,92.9744046277061,93.18011174296197,0.8568520349138176,0.5685956826328514,2.5274388565547383,-1.0288469439713186,-0.018660808208736057,-0.00048200745077009444,-0.8541377480142458
Exp1b_180,Observed,65.52231824125468,38.45730081614149,-1.7247271400539406,24.55745406916949,-29.141917763850408,6.594642327801186,-3.963734253905386,1.2452108793797838,-13.782230980788944
Exp1b_181,Observed,83.87395322457877,26.73034865222191,0.8463557923139149,22.238612580290344,-50.062838694729024,-2.553751200704164,2.043020148481517,-0.9902704571657135,-7.521066564044317
Exp1b_182,Observed,82.74213356236496,17.41978017515323,-5.35568430607227,21.333716062591986,-31.275043135815018,-1.449821950366915,8.721040942632065,8.724152636600497,-19.910278857863574
Exp1b_183,Observed,78.37411210994884,42.68410320948289,1.911123872581232,20.362106056766503,-55.07087021129152,4.753167354534292,7.762400435029093,0.05192441127962888,31.51712146689333
Exp1b_184,Observed,80.20370284801704,21.13948146159223,-3.0556152380077606,36.10182844947113,-26.201033148444058,3.1018150156078788,-5.8396514145918275,-18.09916474882031,4.426609497393978
Exp1b_185,Observed,74.48926692335378,31.45465150318202,-2.745171709907801,30.37540384012582,-44.77504195011835,-4.079966294989964,0.35647420719686806,3.1499462417892277,14.769077664177267
Exp1b_186,Observed,78.06724672426319,67.64183438763885,1.5027020110473828,19.628143603557657,0.1172384215180378,5.743076772766362,-8.056163686246336,0.8725549062419059,-30.383395742874118
Exp1b_187,Observed,68.70300235277546,42.16416785049409,-1.5119637558605454,21.939975887432567,-24.356110717570726,0.019504898297144857,6.619974201714577,3.8399336517880935,-7.207972820578448
Exp1b_188,Observed,72.13570553681623,51.64661103977318,-4.648421925038329,25.309106090562697,-39.748378632104334,-4.193437934999102,-17.85141028460113,2.3981438981549683,-3.5356323768088824
Exp1b_189,Observed,59.859034202719435,52.124813808127946,-0.8450937415802784,9.666695946372858,-15.01231528386126,-1.0279267778423717,-2.4811539712115334,2.031916837908773,4.289612731692741
Exp1b_19,Free,94.45594571595831,102.7412504468443,-7.340111161691738,3.978034663762326,30.84697923345894,1.0095187680116533,-21.595576006725125,0.42080130744348443,-59.36066996332221
Exp1b_190,Observed,50.04718389223137,25.45487489556233,-1.8260477867413059,21.297037556374036,-11.635693071746449,3.6832426187998264,-0.6579118645986242,-1.2728517403212587,-1.5876674012838106
Exp1b_191,Observed,82.46717748677395,56.6943713377084,-3.0382018847084353,4.1071647778305,-26.671619106485668,2.5229515416722483,-5.796087619708757,-0.7406348270225561,-19.244510365764075
Exp1b_192,Observed,62.41600922263312,43.984830660101444,-3.9890474880381266,6.906084495749263,2.370806960229993,11.10879150853503,14.526475816283828,-0.885931949170066,-32.172320422090586
Exp1b_2,Free,91.43034256491012,75.63565926303795,-10.373202406330108,4.2286928742746674,-13.9133374500978,1.0808236314153667,-27.654672631145033,0.2945002949873854,-64.44338868343179
Exp1b_20,Free,89.36514083209529,74.26107535215205,-6.515132967588322,12.044790112211924,5.372274761399279,-1.5286411820339332,-4.8931075313718395,-1.7707832302568072,-27.943948543970844
Exp1b_21,Observed,62.36192751944084,36.75575548026159,-2.6425538095928562,34.53854652027641,-32.75821070268089,7.8261156155429195,6.999734702717497,-0.9521612213614161,18.098586449561296
Exp1b_22,Observed,66.81844077722042,38.10812920426458,-3.80899223672602,29.354117421687683,-50.23532498144207,-2.657321009966897,0.5140124401002168,-7.002587469001861,12.912540393521676
Exp1b_23,Observed,77.34193388971654,30.19327059369408,-2.6662030955603875,39.99963194949754,-39.54755364099255,-0.9287803627019593,-8.178292460771772,-4.656774536088001,15.482320183159315
Exp1b_24,Observed,95.16190345731026,26.64249914441052,-1.1126708296607775,9.238830951980455,-52.82674866845814,-12.202665459767541,-15.908779552287982,28.152503021392068,23.033677665237676
Exp1b_25,Observed,79.61968848585656,19.49048286755668,-8.814383054935085,38.443515122773626,-24.63140968172293,6.541975545422402,8.404595595352063,-24.404206090028975,-19.48381591273166
Exp1b_26,Observed,61.960096680972825,75.42583291097584,-2.064155608015043,-10.723584410357818,31.937614924775392,-1.5211515209882513,10.816310506287898,-4.901913949647072,-28.87359651671835
Exp1b_27,Observed,64.90185816148217,41.67962477720897,-1.9553874462064522,11.612820074561235,-8.83468831222086,3.1195033094645153,-2.8119669869524415,6.970962241269156,-9.8726684017073
Exp1b_28,Observed,52.93015591132665,49.986991937041736,-1.8533269636046104,7.584387821578174,8.956211285136536,5.070380807082967,8.593457990447234,-1.6887647511893225,-5.179953638414139
