Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,77.22227621581874,1.3458511169285658,57.378022906464984,91.0,3.011432410359934e-73,74.54890830390306,79.89564412773441
(Intercept)|Correct,Observed,71.55249733417774,1.0291703153636167,69.52444728149537,99.0,7.652668613572074e-86,69.51040014836371,73.59459451999177
(Intercept)|Error,Free,67.49952675336917,1.7464874021405536,38.64873383606402,91.0,2.966668323702972e-58,64.03034407727725,70.96870942946109
(Intercept)|Error,Observed,40.31367266376073,1.4552207395092196,27.70278870362768,99.0,1.9705828070142308e-48,37.42619900412641,43.201146323395044
z(log(RT)),Free,-4.92356189524533,0.3936633409134444,-12.507036809220914,91.0,1.789538862508781e-21,-5.705525762167904,-4.141598028322756
z(log(RT)),Observed,-2.371940386311204,0.24563316774822389,-9.656433648824102,99.0,6.146256047385239e-16,-2.8593298816290997,-1.884550890993308
Difficulty|Correct,Free,12.872452228565217,1.0363314566241206,12.421172923282285,91.0,2.663769753644051e-21,10.813907098721696,14.930997358408739
Difficulty|Correct,Observed,18.82622730493398,1.0693078463726404,17.60599379196295,99.0,2.930963545149659e-32,16.70448854969702,20.947966060170938
Difficulty|Error,Free,0.27585957060017713,1.980821394895119,0.13926524183912273,88.0,0.8895587819487301,-3.6606067115156318,4.212325852715986
Difficulty|Error,Observed,-23.259497749168357,1.870432585669569,-12.435357428742627,99.0,6.068577476025651e-22,-26.97084179245353,-19.548153705883184
Incentive|Correct,Free,2.996693104770346,0.7265671305127962,4.1244545464853895,91.0,8.203205367717671e-05,1.5534567555682373,4.4399294539724545
Incentive|Correct,Observed,1.4416512631722807,0.4425741156160757,3.257423360978672,99.0,0.0015405709952615951,0.5634882006334963,2.3198143257110653
Incentive|Error,Free,3.421982225984733,1.2550632759823392,2.7265415947306275,91.0,0.007678074580038327,0.9289532072236257,5.91501124474584
Incentive|Error,Observed,1.0391490005028092,0.7694045003088253,1.3505886696603844,99.0,0.17990639570167796,-0.4875164516368389,2.5658144526424573
Incentive×Difficulty|Correct,Free,0.026532050612805648,0.5233565406729896,0.05069593776106783,91.0,0.9596789260349986,-1.013051425395579,1.0661155266211904
Incentive×Difficulty|Correct,Observed,-0.10434733508169228,0.7784420403047979,-0.1340463768385829,99.0,0.8936380279496752,-1.6489452272819896,1.4402505571186048
Incentive×Difficulty|Error,Free,-1.6987646020536002,2.6631146863533792,-0.6378863857266808,85.0,0.5252623731769541,-6.993750066861291,3.59622086275409
Incentive×Difficulty|Error,Observed,-4.567860278789255,1.7993493247464958,-2.53861783032753,99.0,0.012687190142412645,-8.138159710776826,-0.9975608468016848
