Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,77.56404660188159,1.3498984738410393,57.45917052649053,91.0,2.657075643924178e-73,74.88263911265919,80.24545409110398
(Intercept)|Correct,Observed,71.64856019057919,1.0340443439344897,69.28963986008552,99.0,1.0625948645980814e-85,69.59679187465233,73.70032850650605
(Intercept)|Error,Free,64.13536152025331,1.813199147901012,35.371383002522045,91.0,5.7252352183373426e-55,60.53366415645144,67.73705888405519
(Intercept)|Error,Observed,39.9661260843602,1.4621930798701521,27.333001800220067,99.0,6.400677023404221e-48,37.06481778878949,42.867434379930906
Difficulty|Correct,Free,16.18038679593103,1.136235931098383,14.240340718929463,91.0,6.926785068024401e-25,13.923393700367637,18.437379891494427
Difficulty|Correct,Observed,19.500656088240973,1.092235393552931,17.853895051695144,99.0,1.0195618730685398e-32,17.333424105230584,21.66788807125136
Difficulty|Error,Free,-1.6234229345047637,2.233578726081899,-0.7268259298621371,88.0,0.46926166321072366,-6.062191299149835,2.815345430140307
Difficulty|Error,Observed,-22.719628501452522,1.8268078431351835,-12.436791634560151,99.0,6.026216807539716e-22,-26.344411591092374,-19.09484541181267
Incentive|Correct,Free,3.0491407209307133,0.7352282891831383,4.147202665880014,91.0,7.547382327269625e-05,1.5887000440150425,4.509581397846384
Incentive|Correct,Observed,1.4791909910512073,0.455266787009552,3.249064138342629,99.0,0.0015820188486380014,0.5758429147725713,2.3825390673298434
Incentive|Error,Free,4.138665671638148,1.2443490394662098,3.3259684705615378,91.0,0.001271799950619537,1.6669191675197181,6.610412175756578
Incentive|Error,Observed,1.0721288117535097,0.7637398551096821,1.4037879581386246,99.0,0.16351112300217746,-0.443296755357276,2.5875543788642954
Incentive×Difficulty|Correct,Free,0.028373847414491896,0.5447335096828323,0.05208757476846319,91.0,0.9585730839889951,-1.053672351465759,1.110420046294743
Incentive×Difficulty|Correct,Observed,0.13832559949117257,0.7892949094455342,0.17525211151855,99.0,0.8612394779525777,-1.4278067396315226,1.7044579386138676
Incentive×Difficulty|Error,Free,-0.4790604185552389,2.759756750660463,-0.17358791438433496,85.0,0.862602063102198,-5.966196198337054,5.0080753612265765
Incentive×Difficulty|Error,Observed,-4.912703595446984,1.7421255731334035,-2.819948040031895,99.0,0.005802670867645363,-8.369458689450486,-1.4559485014434812
