Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,72.60340891251332,1.1290681830726996,64.30383036295201,96.0,9.871749885255356e-81,70.36222628247484,74.8445915425518
(Intercept)|Correct,Observed,71.32795777417908,1.0948422959150674,65.14907036411421,99.0,4.161895942826317e-83,69.15555313131061,73.50036241704755
(Intercept)|Error,Free,64.1229339860997,1.2163743190455893,52.71644836797675,96.0,1.1249262611738618e-72,61.708450045855386,66.537417926344
(Intercept)|Error,Observed,42.393599867166905,1.3989037992929814,30.304871491944628,99.0,6.889806438201894e-52,39.617871234971126,45.169328499362685
z(log(RT)),Free,-3.9399519132905003,0.2773042438652071,-14.208047660480975,96.0,2.442865381841644e-25,-4.490396486881534,-3.389507339699467
z(log(RT)),Observed,-3.00646343938864,0.3175443422632748,-9.467853900215271,99.0,1.584905900786068e-15,-3.636540306187789,-2.3763865725894906
Difficulty|Correct,Free,12.944113476703766,0.8877198296718973,14.58130487125418,96.0,4.4222677928581465e-26,11.182003541777663,14.70622341162987
Difficulty|Correct,Observed,18.10829147224567,1.1315288602582285,16.00338454302716,99.0,3.261578355770553e-29,15.863092726512036,20.353490217979306
Difficulty|Error,Free,-0.5535352489420443,1.1478086324684662,-0.4822539518208857,95.0,0.6307348291663715,-2.8322234883823394,1.7251529904982505
Difficulty|Error,Observed,-17.81468784615319,1.4844821539791617,-12.00060761821948,99.0,5.115309333522945e-21,-20.76022250040616,-14.869153191900221
Incentive|Correct,Free,2.613300693676232,0.3957490773585731,6.603428392350794,96.0,2.2223706305976307e-09,1.8277449838199775,3.398856403532487
Incentive|Correct,Observed,1.0950592530318644,0.2357955252155921,4.64410531977073,99.0,1.0515573755274565e-05,0.627189774790864,1.5629287312728648
Incentive|Error,Free,2.4281416719692914,0.7907674986621559,3.0706138986203837,96.0,0.002778433355314609,0.8584805930630564,3.9978027508755263
Incentive|Error,Observed,1.42668915987822,0.491709665533663,2.9014869136847325,99.0,0.004577233582186589,0.45103050626743835,2.4023478134890017
Incentive×Difficulty|Correct,Free,-1.0031087991104153,0.33011155957457894,-3.0386963740474306,96.0,0.0030610289233535017,-1.6583750659181653,-0.34784253230266526
Incentive×Difficulty|Correct,Observed,-0.23901606007075699,0.3930176615225506,-0.6081560282680648,99.0,0.5444767066825068,-1.0188483663366548,0.5408162461951407
Incentive×Difficulty|Error,Free,-0.999449885403833,1.5329396069617258,-0.6519825574764389,92.0,0.5160379966391824,-4.0440002635029595,2.045100492695294
Incentive×Difficulty|Error,Observed,-0.1400688242617222,1.1805844975965167,-0.11864362487130754,99.0,0.905798106180172,-2.4826045971728647,2.20246694864942
