Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,80.33078001703186,0.6229094161287152,128.96061279066086,192.0,1.8740247438907235e-188,79.10215567025215,81.55940436381157
(Intercept)|Correct,Non-Free,69.80306187571807,0.6647943579045063,104.9994799831693,192.0,1.4879653831064846e-171,68.49182381674083,71.11429993469531
(Intercept)|Error,Free,63.73099593338384,0.5709814831299836,111.61657219429567,192.0,1.4400705632850606e-176,62.60479405945209,64.85719780731559
(Intercept)|Error,Non-Free,33.37538471428684,0.7702076018530909,43.332972349256096,192.0,4.4617630453301843e-101,31.856229942807214,34.894539485766465
Difficulty|Correct,Free,15.36690015522489,0.47462042613619565,32.377241494480586,192.0,1.0343438523198902e-79,14.430760492007153,16.303039818442628
Difficulty|Correct,Non-Free,27.208604493804927,0.6402578576872167,42.496322641146044,192.0,1.3258148417345025e-99,25.94576214176543,28.471446845844422
Difficulty|Error,Free,-9.20640898171542,0.7429980543815967,-12.39089244907645,192.0,2.721992737290174e-26,-10.671895737231985,-7.7409222261988555
Difficulty|Error,Non-Free,-20.693503931594282,0.9939658834221266,-20.81912898292705,192.0,3.9968688646318836e-51,-22.653998752543476,-18.73300911064509
Incentive|Correct,Free,3.095472738700349,0.11621808611486471,26.635034547384677,192.0,2.1617486179691993e-66,2.8662445934199776,3.32470088398072
Incentive|Correct,Non-Free,3.1045372975276844,0.15689420463803166,19.78745680689811,192.0,3.156244980297955e-48,2.7950797187918823,3.4139948762634864
Incentive|Error,Free,4.683705779542609,0.32485075700855504,14.418023287596228,192.0,2.048661766367802e-32,4.042971286217725,5.324440272867493
Incentive|Error,Non-Free,3.565005577963509,0.3253255424073557,10.958271372063356,192.0,5.134526480092661e-22,2.9233346195839025,4.206676536343116
Incentive×Difficulty|Correct,Free,-1.7046006094146307,0.2150709132416571,-7.925760781511697,192.0,1.8033632052304924e-13,-2.128805724076513,-1.2803954947527485
Incentive×Difficulty|Correct,Non-Free,-1.2711780973833076,0.34357628499562165,-3.6998423724137623,192.0,0.0002816448282116335,-1.9488467564079135,-0.5935094383587016
Incentive×Difficulty|Error,Free,1.2541094643142208,0.7174548035396804,1.747997864293147,185.0,0.08212336980699177,-0.16133555535385757,2.6695544839822993
Incentive×Difficulty|Error,Non-Free,0.10778697899822749,0.7204164629387964,0.1496175955759421,192.0,0.8812233709190814,-1.313159924788235,1.5287338827846901
