Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,80.34226668852519,0.6137641380981965,130.9008814647805,192.0,1.1002574810214068e-189,79.13168045604498,81.5528529210054
(Intercept)|Correct,Non-Free,69.5074305576048,0.661017905309624,105.15211463908409,192.0,1.1311673882196275e-171,68.20364116047533,70.81121995473428
(Intercept)|Error,Free,64.21788489928211,0.5111963003018288,125.62274973697102,192.0,2.716070514286943e-186,63.20960311019328,65.22616668837094
(Intercept)|Error,Non-Free,33.727931895463925,0.7754569248085291,43.49426875489159,192.0,2.334526403384328e-101,32.19842337780521,35.25744041312264
Difficulty|Correct,Free,15.395308787468815,0.4866014037871023,31.63843891047336,192.0,4.33666040493254e-78,14.435537885969898,16.35507968896773
Difficulty|Correct,Non-Free,27.77773413710389,0.6579161440561005,42.22078206783642,192.0,4.0995340827526175e-99,26.48006264298776,29.075405631220022
Difficulty|Error,Free,-8.288616606245386,0.7008751849017697,-11.826095123352193,191.0,1.4384904625865574e-24,-9.671066268035192,-6.906166944455579
Difficulty|Error,Non-Free,-20.693753922165257,0.9627928506606659,-21.493464464308456,192.0,5.466383037369174e-53,-22.592763162672078,-18.794744681658436
Incentive|Correct,Free,2.9844539453381307,0.10683274169726208,27.93576105905196,192.0,1.480648234905161e-69,2.7737374204568273,3.195170470219434
Incentive|Correct,Non-Free,2.3730183018302142,0.15060337839461188,15.756740168287708,192.0,1.913505487080064e-36,2.075968726704409,2.6700678769560193
Incentive|Error,Free,4.528536297518618,0.3565203079536613,12.702043043526187,192.0,3.1441840114520844e-27,3.825336893028066,5.2317357020091695
Incentive|Error,Non-Free,1.4565445524331047,0.32619518662944097,4.465254584175533,192.0,1.3625771547188109e-05,0.8131583108411643,2.099930794025045
Incentive×Difficulty|Correct,Free,-1.3456973820138158,0.2244336090621861,-5.995970869233537,192.0,9.852892300399655e-09,-1.7883694450613643,-0.9030253189662674
Incentive×Difficulty|Correct,Non-Free,-1.037329885656535,0.33810188869937985,-3.0680984647763005,192.0,0.0024656012021816503,-1.7042008646343627,-0.3704589066787072
Incentive×Difficulty|Error,Free,1.3797532529018302,0.7400560879466968,1.8643901122818793,185.0,0.06385104293851022,-0.08028116151861564,2.839787667322276
Incentive×Difficulty|Error,Non-Free,-0.27558863631547104,0.8124245701966133,-0.3392175057541359,192.0,0.7348166148750325,-1.8780120080298395,1.3268347353988976
