agency,incentive,correct,conf_mean,conf_sem,group
1,-1.0,-0.5,63.5408549608217,1.1561684862721888,Free
1,-1.0,0.5,74.74311463519182,1.1273178247472477,Free
1,0.0,-0.5,66.97688435777292,1.1213797354003363,Free
1,0.0,0.5,78.0475929212268,1.0070039939164102,Free
1,1.0,-0.5,69.23327613937607,1.0748457529182853,Free
1,1.0,0.5,79.93217370443375,0.9413458217959473,Free
0,-1.0,-0.5,40.38662456433136,0.6359436375970451,Non-Free
0,-1.0,0.5,68.43894696352706,0.8237375223998932,Non-Free
0,0.0,-0.5,39.66123126783782,0.5968547609789193,Non-Free
0,0.0,0.5,70.03244082437297,0.7459901031575532,Non-Free
0,1.0,-0.5,39.133339087993306,0.6098556366472774,Non-Free
0,1.0,0.5,70.99067982112459,0.7099236403794998,Non-Free
