Effect,Group,estimate,se,t,df,p,lcl,ucl
(Intercept)|Correct,Free,76.46285383256719,0.9889355955438935,77.31833516470228,192.0,1.2451293158246955e-146,74.51228073377933,78.41342693135505
(Intercept)|Correct,Non-Free,67.78291221312513,0.6963154541586261,97.34512110610669,192.0,2.335186835823701e-165,66.40950205449384,69.15632237175642
(Intercept)|Error,Free,65.21667803575903,1.1124723449947063,58.623190346425524,192.0,1.7079185733773024e-124,63.02244148580586,67.4109145857122
(Intercept)|Error,Non-Free,35.58931125023567,0.7573335670973608,46.99291408228365,192.0,2.940833488216418e-107,34.09554917973732,37.083073320734016
Difficulty|Correct,Free,13.931419333886085,0.49960911950931136,27.8846377895759,192.0,1.9639993783135506e-69,12.945992059536653,14.916846608235517
Difficulty|Correct,Non-Free,25.29730229935009,0.6508360101945821,38.868934575065836,192.0,6.17691740473531e-93,24.013595636420465,26.581008962279714
Difficulty|Error,Free,-4.7355276360126295,0.4562091098147046,-10.380168949138321,191.0,2.663618707620646e-20,-5.6353827645076695,-3.8356725075175895
Difficulty|Error,Non-Free,-17.770675634060495,0.7718406072763933,-23.02376354201961,192.0,3.962548494449284e-57,-19.29305133970734,-16.24829992841365
Incentive|Correct,Free,2.5816881897485215,0.35664003870230415,7.238918544150109,192.0,1.0595544278803711e-11,1.878252628749444,3.2851237507475988
Incentive|Correct,Non-Free,1.1386238060230622,0.17895037501189956,6.36279083487446,192.0,1.4197695591957636e-09,0.7856627142299841,1.4915848978161403
Incentive|Error,Free,3.0064814533294606,0.4161921798618471,7.2237817018268995,192.0,1.1565600454844298e-11,2.1855854580569707,3.8273774486019505
Incentive|Error,Non-Free,-1.0642462911127546,0.1941372026847538,-5.481928638072073,192.0,1.312441722178044e-07,-1.4471618285219847,-0.6813307537035245
Incentive×Difficulty|Correct,Free,-0.22172958171347668,0.15716562975715842,-1.4108019804080454,192.0,0.1599211980338873,-0.5317225184018994,0.08826335497494614
Incentive×Difficulty|Correct,Non-Free,1.2858467307942019,0.2617791568763607,4.911952296498197,192.0,1.9245595993555318e-06,0.7695144402717171,1.8021790213166866
Incentive×Difficulty|Error,Free,0.4704479294959009,0.2588001440156849,1.8178039710340688,185.0,0.07071178168717356,-0.0401310967076956,0.9810269556994975
Incentive×Difficulty|Error,Non-Free,-1.4329096051534551,0.31593286971192147,-4.53548757512959,192.0,1.0106524695792183e-05,-2.056054488864511,-0.8097647214423989
